"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"평택시보훈회관","5F(대회의실내),4F(복도),3F(복도),2F(복도)",경기도,평택시,서민·복지시설,public WiFi free,,2015-11,경기도 평택시 통복시장로16번길 28,경기도 평택시 통복동 89-1,경기도 평택시청,031-8024-2441,36.996134,127.077998,2018-02-19
"청소년문화센터","4F(다목적실앞), 3F(취미교실앞), 2F(문화휴게실앞, 시청각실내), 1F(소강당내, 대강당내, 청터북까페앞), B1(당구장앞, 식당내)",경기도,평택시,지역문화시설,public WiFi free,,2015-11,경기도 평택시 평남로 616,경기도 평택시 합정동 690,경기도 평택시청,031-8024-2441,36.988444,127.100758,2018-02-19
"북부복지타운&송탄보건소","4F( 주민시설앞, 대강당내, 식당앞), 3F(대기실앞, 소강당내, 프로그램실앞), 2F(진료대기실안, 중앙홀, 대기실앞), 1F(물리치료실앞, 중앙홀, 다목적실앞)",경기도,평택시,서민·복지시설,public WiFi free,,2015-11,경기도 평택시 서정로 295,경기도 평택시 서정동 산12,경기도 평택시청,031-8024-2441,37.066098,127.057305,2018-02-19
"오성도서관","1F(열람실), 2F(열람실)",경기도,평택시,서민·복지시설,public WiFi free,,2016-07,경기도 평택시 오성새싹길 3,경기도 평택시 오성면 숙성리 129-3,경기도 평택시청,031-8024-2441,37.008547,126.980352,2018-02-19
"무봉산수련원","3F(좌측휴게실, 우측휴게실, 숙소앞), 2F(좌측휴게실, 우측휴게실, 숙소앞, 집회장내), F1(강당중앙, 예절실앞, 휴게실, 숙소앞, 구내식당내)",경기도,평택시,지역문화시설,public WiFi free,,2015-11,경기도 평택시 서정로 295,경기도 평택시 진위면 동천리 681,경기도 평택시청,031-8024-2441,37.107572,127.088627,2018-02-19
"장당도서관","B1(다목적실 내), 1F(로비, 안내, 복도), 2F(열람실), 3F(열람실)",경기도,평택시,서민·복지시설,public WiFi free,,2016-07,경기도 평택시 장당길 116(장당동),경기도 평택시 장당동 1-20,경기도 평택시청,031-8024-2441,37.052395,127.064609,2018-02-19
"서정작은도서관",1F(실중앙),경기도,평택시,서민·복지시설,public WiFi free,,2016-07,경기도 평택시 서정로 202(서정동),경기도 평택시 서정동 876-4,경기도 평택시청,031-8024-2441,37.066146,127.055764,2018-02-19
"포승작은도서관",1F(실중앙),경기도,평택시,서민·복지시설,public WiFi free,,2016-07,경기도 평택시 포승읍 여술로 47,경기도 평택시 포승읍 도곡리 1110,경기도 평택시청,031-8024-2441,36.989867,126.847676,2018-02-19
"청북작음도서관","2F( 열람실, 다용도실)",경기도,평택시,서민·복지시설,public WiFi free,,2016-07,경기도 평택시 청북읍 안청로2길 60,경기도 평택시 청북읍 옥길리 1142,경기도 평택시청,031-8024-2441,37.020167,126.917991,2018-02-19
"자원봉사센터",2F(사무실),경기도,평택시,서민·복지시설,public WiFi free,,2016-07,경기도 평택시 중앙로 275(비전동),경기도 평택시 비전동 846,경기도 평택시청,031-8024-2441,36.992273,127.112806,2018-02-19
"소풍정원 캠핑장",야외 화장실 2개소 외벽,경기도,평택시,지역문화시설,public WiFi free,,2017-07,경기도 평택시 고덕면 새악길 43-42 일원,경기도 평택시 고덕면 궁리 476-12 일원,경기도 평택시청,031-8024-2441,37.011501,127.017358,2018-02-19
