설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,
주왕산시외버스터미널,대합실,경상북도,청송군,교통시설,SKT,Public WiFi Free,2013-09,경상북도 청송군 부동면 공원길 146(상의리 295),경상북도 청송군 부동면 상의리 295,경상북도 청송군청,054-870-6073,36.3910979,129.1240651,2018-08-01,5160000,경상북도 청송군,
진보버스터미널,대합실,경상북도,청송군,교통시설,KT,Public WiFi Free,2014-12,경상북도 청송군 진보면 진보로 110-15(진안리 423-27),경상북도 청송군 진보면 진안리 423-27,경상북도 청송군청,054-870-6073,36.5287826,129.0252366,2018-08-01,5160000,경상북도 청송군,
주왕산공원 탐방안내소,휴게실,경상북도,청송군,관광,LGU+,Public WiFi Free,2013-09,경상북도 청송군 부동면 공원길 146(상의리 295),경상북도 청송군 부동면 상의리 295,경상북도 청송군청,054-870-6073,36.3910979,129.1240651,2018-08-01,5160000,경상북도 청송군,
주왕산공원 관리사무소,민원실,경상북도,청송군,관광,LGU+,Public WiFi Free,2013-09,경상북도 청송군 부동면 공원길 169-7(상의리 406),경상북도 청송군 부동면 상의리 406,경상북도 청송군청,054-870-6073,36.3939021,129.1244751,2018-08-01,5160000,경상북도 청송군,
청송시장,시장 전구역,경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2015-10,경상북도 청송군 청송읍 현충로 106(월막리 423-1),경상북도 청송군 청송읍 월막리 423-1,경상북도 청송군청,054-870-6073,36.435149,129.0346325,2018-08-01,5160000,경상북도 청송군,
부남시장,시장 전구역,경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2015-10,경상북도 청송군 부남면 대전로 142(대전리 64-16),경상북도 청송군 부남면 대전리 64-16,경상북도 청송군청,054-870-6073,36.346536,129.0468441,2018-08-01,5160000,경상북도 청송군,
도평시장,시장 전구역,경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2015-10,경상북도 청송군 현동면 도평2길 19(도평리 839-3),경상북도 청송군 현동면 도평리 839-3,경상북도 청송군청,054-870-6073,36.2895903,129.0151829,2018-08-01,5160000,경상북도 청송군,
화목시장,시장 전구역,경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2015-10,경상북도 청송군 현서면 구산북로 57(구산리 100-14),경상북도 청송군 현서면 구산리 100-14,경상북도 청송군청,054-870-6073,36.27538001,128.8797565,2018-08-01,5160000,경상북도 청송군,
안덕시장,시장 전구역,경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2015-10,경상북도 청송군 안덕면 안덕로 70-4(명당리 436-4),경상북도 청송군 안덕면 명당리 436-4,경상북도 청송군청,054-870-6073,36.2883872,128.9408927,2018-08-01,5160000,경상북도 청송군,
진보시장,시장 전구역,경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2014-12,경상북도 청송군 진보면 진안남2길 9(진안리 122-3),경상북도 청송군 진보면 진안리 122-3,경상북도 청송군청,054-870-6073,36.5283894,129.0287666,2018-08-01,5160000,경상북도 청송군,
박정희전대통령사단장공관,박정희전대통령사단장공관,강원도,양구군,지역문화시설,KT,,2016.07,강원도 양구군 양구읍 관공서로 50-52,강원도 양구군 양구읍 하리 34-10,강원도 양구군청,033-480-2299,38.110336,127.988571,2018-02-28,4320000,강원도 양구군,
생태식물원,생태식물원,강원도,양구군,기타,KT,,2016.07,강원도 양구군 숨골로 310번길 169,강원도 양구군 동면 원당리 180,강원도 양구군청,033-480-2299,38.192942,128.078875,2018-02-28,4320000,강원도 양구군,
광치자연휴양림,광치자연휴양림,강원도,양구군,관광,KT,,2016.07,강원도 양구군 남면 광치령로1794번길 265,강원도 양구군 남면 가오작리 5-1,강원도 양구군청,033-480-2299,38.1439565,128.0716513,2018-02-28,4320000,강원도 양구군,
대암산등산로,"후곡약수터, 약수골캠핑장",강원도,양구군,관광,KT,,2016.07,강원도 양구군 약수터길,강원도 양구군 동면 후곡리,강원도 양구군청,033-480-2299,38.1680922,128.0569298,2018-02-28,4320000,강원도 양구군,
비봉산등산로,"비봉공원, 냉천골공원",강원도,양구군,지역문화시설,KT,,2016.07,강원도 양구군 양구읍 관공서로 6,강원도 양구군 양구읍 상리 275,강원도 양구군청,033-480-2299,38.106517,127.991842,2018-02-28,4320000,강원도 양구군,
국토정중앙천문대캠핑장,국토정중앙천문대캠핑장,강원도,양구군,지역문화시설,KT,,2016.07,강원도 양구군 남면 국토정중앙로 127,강원도 양구군 남면 도촌리 87,강원도 양구군청,033-480-2299,38.068126,128.029099,2018-02-28,4320000,강원도 양구군,
"두타연_안내소, 조각공원","두타연_안내소, 조각공원",강원도,양구군,관광,KT,,2016.07,강원도 양구군 방산면 평화로,강원도 양구군 방산면 송현리,강원도 양구군청,033-480-2299,38.247829,127.981714,2018-02-28,4320000,강원도 양구군,
양구공예공방,양구공예공방,강원도,양구군,지역문화시설,KT,,2016.07,강원도 양구군 양구읍 박수근로 238,강원도 양구군 양구읍 정림리 431,강원도 양구군청,033-480-2299,38.096433,127.981163,2018-02-28,4320000,강원도 양구군,
상무룡리-파서탕-방산면오미리,오미체험학교,강원도,양구군,교육시설,KT,,2016.07,강원도 양구군 방산면 평화로 4818,강원도 양구군 방산면 오미리 237,강원도 양구군청,033-480-2299,38.186383,127.914601,2018-02-28,4320000,강원도 양구군,
힐링하우스_수련원,힐링하우스_수련원,강원도,양구군,기타,KT,,2016.07,강원도 양구군 양구읍 황강길 28,강원도 양구군 양구읍 송청리 133,강원도 양구군청,033-480-2299,38.0890048,127.9981464,2018-02-28,4320000,강원도 양구군,
초롱이테니스장,초롱이테니스장,강원도,양구군,기타,KT,,2015.11,강원도 양구군 양구읍 함춘로 106,강원도 양구군 양구읍 하리 436-1,강원도 양구군청,033-480-2299,38.116607,127.988444,2018-02-28,4320000,강원도 양구군,
용머리공원,용머리공원,강원도,양구군,지역문화시설,KT,,2015.11,강원도 양구군 양구읍 파로호로 937-26,강원도 양구군 양구읍 하리 140,강원도 양구군청,033-480-2299,38.120903,127.982355,2018-02-28,4320000,강원도 양구군,
문화체육회관,문화체육회관,강원도,양구군,지역문화시설,KT,,2015.11,강원도 양구군 양구읍 양록길23번길 17,강원도 양구군 양구읍 상리 505,강원도 양구군청,033-480-2299,38.1083203,127.9844109,2018-02-28,4320000,강원도 양구군,
종합운동장,종합운동장,강원도,양구군,기타,KT,,2015.11,강원도 양구군 양구읍 함춘로 25-9,강원도 양구군 양구읍 하리 96-1,강원도 양구군청,033-480-2299,38.1095702,127.9851886,2018-02-28,4320000,강원도 양구군,
산양증식복원센터,산양증식복원센터,강원도,양구군,기타,KT,,2015.11,강원도 양구군 동면 펀치볼로 266-60,강원도 양구군 팔랑리 247,강원도 양구군청,033-480-2299,38.2261409,128.075204,2018-02-28,4320000,강원도 양구군,
"이해인시문학관 김명석,안병욱 철학의집","이해인시문학관 김명석,안병욱 철학의집",강원도,양구군,기타,KT,,2015.11,강원도 양구군 양구읍 파로호로 937,강원도 양구군 양구읍 하리 148,강원도 양구군청,033-480-2299,38.121967,127.981217,2018-02-28,4320000,강원도 양구군,
전쟁기념관,전쟁기념관,강원도,양구군,기타,KT,,2015.11,강원도 양구군 해안면 해안서화로 47-7,강원도 양구군 해안면 후리 629,강원도 양구군청,033-480-2299,38.289579,128.1455008,2018-02-28,4320000,강원도 양구군,
생태식물원,생태식물원,강원도,양구군,기타,KT,,2015.11,강원도 양구군 숨골로 310번길 169,강원도 양구군 동면 원당리 180,강원도 양구군청,033-480-2299,38.1924785,128.0789825,2018-02-28,4320000,강원도 양구군,
곰취축제장-추가2,곰취축제장-추가2,강원도,양구군,지역문화시설,KT,,2015.11,강원도 양구군 양구읍 박수근로 366-24,강원도 양구군 양구읍 상리 394,강원도 양구군청,033-480-2299,38.106631,127.981246,2018-02-28,4320000,강원도 양구군,
곰취축제장-추가1,곰취축제장-추가1,강원도,양구군,지역문화시설,KT,,2015.11,강원도 양구군 양구읍 박수근로 366-24,강원도 양구군 양구읍 상리 394,강원도 양구군청,033-480-2299,38.106119,127.981471,2018-02-28,4320000,강원도 양구군,
곰취축제장,곰취축제장,강원도,양구군,지역문화시설,KT,,2015.11,강원도 양구군 양구읍 박수근로 366-24,강원도 양구군 양구읍 상리 394,강원도 양구군청,033-480-2299,38.106717,127.981761,2018-02-28,4320000,강원도 양구군,
두타연이목정안내소,두타연이목정안내소,강원도,양구군,관광,KT,,2015.11,강원도 양구군 방산면 평화로,강원도 양구군 방산면 송현리,강원도 양구군청,033-480-2299,38.245181,127.981762,2018-02-28,4320000,강원도 양구군,
두타연비득안내소,두타연비득안내소,강원도,양구군,관광,KT,,2015.11,강원도 양구군 방산면 두타연로,강원도 양구군 방산면 고방산리,강원도 양구군청,033-480-2299,38.252235,128.044325,2018-02-28,4320000,강원도 양구군,
두타연갤러리,두타연갤러리,강원도,양구군,관광,KT,,2015.11,강원도 양구군 방산면 두타연로 8,강원도 양구군 방산면 고방산리 230,강원도 양구군청,033-480-2299,38.2265532,127.9836332,2018-02-28,4320000,강원도 양구군,
청춘공원,청춘공원,강원도,양구군,지역문화시설,KT,,2015.11,강원도 양구군 양구읍 파로호로 937-13,강원도 양구군 양구읍 하리 149-3,강원도 양구군청,033-480-2299,38.113593,127.981743,2018-02-28,4320000,강원도 양구군,
통일관,통일관,강원도,양구군,관광,KT,,2015.11,강원도 양구군 해안면 해안서화로 35,강원도 양구군 해안면 후리 622번지,강원도 양구군청,033-480-2299,38.2899956,128.1451675,2018-02-28,4320000,강원도 양구군,
국토정중앙천문대,국토정중앙천문대,강원도,양구군,기타,KT,,2015.11,강원도 양구군 남면 국토정중앙로 127,강원도 양구군 남면 도촌리 96-5,강원도 양구군청,033-480-2299,38.0687983,128.0297688,2018-02-28,4320000,강원도 양구군,
선사박물관,선사박물관,강원도,양구군,기타,KT,,2015.11,강원도 양구군 양구읍 금강산로 439-52,강원도 양구군 양구읍 하리 510,강원도 양구군청,033-480-2299,38.1230964,127.9903544,2018-02-28,4320000,강원도 양구군,
한반도섬 전망대,한반도섬 전망대,강원도,양구군,관광,KT,,2015.11,강원도 양구군 양구읍 파로호로 681,강원도 양구군 양구읍 공수리 50-1,강원도 양구군청,033-480-2299,38.1308454,127.985799,2018-02-28,4320000,강원도 양구군,
팔랑폭포,팔랑폭포,강원도,양구군,관광,KT,,2015.11,강원도 양구군 동면 바랑길 106-17,강원도 양구군 동면 팔랑리 1308-1,강원도 양구군청,033-480-2299,38.214702,128.0578292,2018-02-28,4320000,강원도 양구군,
직연폭포,직연폭포,강원도,양구군,관광,KT,,2015.11,강원도 양구군 방산면 평화로 5181,강원도 양구군 방산면 장평리,강원도 양구군청,033-480-2299,38.2070298,127.950689,2018-02-28,4320000,강원도 양구군,
제 4땅굴,제4땅굴,강원도,양구군,관광,KT,,2015.11,강원도 양구군 해안면 땅굴로 454,강원도 양구군 해안면 땅굴로 454,강원도 양구군청,033-480-2299,38.3191904,128.1102017,2018-02-28,4320000,강원도 양구군,
청소년수련관,청소년수련관,강원도,양구군,기타,LG U+,Public WiFi FREE,2014.12,강원도 양구군 양구읍 박수근로 366,강원도 양구군 양구읍 상리 339-1,강원도 양구군청,033-480-2299,38.1075386,127.9889825,2018-02-28,4320000,강원도 양구군,
청소년수련관_크루즈,청춘크루즈 내,강원도,양구군,기타,LG U+,Public WiFi FREE,2014.12,강원도 양구군 양구읍 박수근로 366,강원도 양구군 양구읍 상리 339-1,강원도 양구군청,033-480-2299,38.1075386,127.9889825,2018-02-28,4320000,강원도 양구군,
양구군보건소,양구군보건소,강원도,양구군,관공서,LG U+,Public WiFi FREE,2014.12,강원도 양구군 양구읍 관공서로 42,강원도 양구군 양구읍 상리 315,강원도 양구군청,033-480-2299,38.1098974,127.9892806,2018-02-28,4320000,강원도 양구군,
해안면사무소,해안면사무소,강원도,양구군,관공서,LG U+,Public WiFi FREE,2014.12,강원도 양구군 해안면 펀치볼로 1307,강원도 양구군 해안면 현리 157,강원도 양구군청,033-480-2299,38.2851904,128.1371406,2018-02-28,4320000,강원도 양구군,
방산면사무소,방산면사무소,강원도,양구군,관공서,LG U+,Public WiFi FREE,2014.12,강원도 양구군 방산면 장거리길 21,강원도 양구군 방산면 현리 16,강원도 양구군청,033-480-2299,38.2088907,127.9494391,2018-02-28,4320000,강원도 양구군,
동면사무소,동면사무소,강원도,양구군,관공서,LG U+,Public WiFi FREE,2014.12,강원도 양구군 동면 금강산로 1693,강원도 양구군 동면 임당리 592-1,강원도 양구군청,033-480-2299,38.2022266,128.043569,2018-02-28,4320000,강원도 양구군,
남면사무소,남면사무소,강원도,양구군,관공서,LG U+,Public WiFi FREE,2014.12,강원도 양구군 남면 삼팔선로 9,강원도 양구군 남면 용하리 416-1,강원도 양구군청,033-480-2299,38.1084879,128.0345727,2018-02-28,4320000,강원도 양구군,
양구읍사무소,양구읍사무소,강원도,양구군,관공서,LG U+,Public WiFi FREE,2014.12,강원도 양구군 양구읍 관공서로 18,강원도 양구군 양구읍 중리 323-3,강원도 양구군청,033-480-2299,38.1079594,127.9905492,2018-02-28,4320000,강원도 양구군,
양구중앙시장,양구중앙시장,강원도,양구군,기타,LG U+,Public WiFi FREE,2014.12,강원도 양구군 양구읍 중앙길 68,강원도 양구군 양구읍 상리 235,강원도 양구군청,033-480-2299,38.104071,127.989355,2018-02-28,4320000,강원도 양구군,
함평양서파충류생태공원,함평양서파충류생태공원,전라남도,함평군,관광,KT,Hampyeong FREE WiFi,2017-08,전라남도 함평군 신광면 학동로 1398-9,,전라남도 함평군,061-320-1542,35.1356236,126.5030859,2018-07-31,4960000,전라남도 함평군,
함평엑스포공원,함평엑스포공원,전라남도,함평군,관광,KT,Hampyeong FREE WiFi,2018-03,전라남도 함평군 함평읍 곤재로 27,,전라남도 함평군,061-320-1542,35.0565469,126.5226337,2018-07-31,4960000,전라남도 함평군,
과천시 갈현동주민센터,민원실,경기도,과천시,관공서,KT,Public WiFi free,2017-04,경기도 과천시 중앙로 28(갈현동),경기도 과천시 갈현동 679,과천시청,02-3677-2301,37.4193613,126.9891189,2018-07-31,3970000,경기도 과천시,
과천시 과천동주민센터,민원실,경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 과천대로 608-17(과천동),경기도 과천시 과천동 538-1,과천시청,02-3677-2301,37.4483745,126.9953936,2018-07-31,3970000,경기도 과천시,
과천시 문원동주민센터,민원실,경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 아랫배랭이로 35(문원동),경기도 과천시 문원동 187-1,과천시청,02-3677-2301,37.4264042,127.0018984,2018-07-31,3970000,경기도 과천시,
과천시 별양동주민센터,민원실,경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 별양로 60(별양동),경기도 과천시 별양동 12,과천시청,02-3677-2301,37.4241695,126.9937186,2018-07-31,3970000,경기도 과천시,
과천시 중앙동주민센터,민원실,경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 관문로 136(중앙동),경기도 과천시 중앙동 68,과천시청,02-3677-2301,37.4330307,126.9933653,2018-07-31,3970000,경기도 과천시,
과천시청,"민원실, 복도",경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 관문로 69(중앙동),경기도 과천시 중앙동 1-3,과천시청,02-3677-2301,37.4294059,126.9880604,2018-07-31,3970000,경기도 과천시,
과천시 청소년수련관,복도,경기도,과천시,교육시설,KT,Public WiFi free,2015-11,경기도 과천시 참마을로 9(문원동),경기도 과천시 문원동 199,과천시청,02-3677-2301,37.4265839,127.0015662,2018-07-31,3970000,경기도 과천시,
과천시 추사박물관,"전시실, 복도",경기도,과천시,관광,KT,Public WiFi free,2015-11,경기도 과천시 추사로 78(주암동),경기도 과천시 주암동 184-2,과천시청,02-3677-2301,37.4531539,127.0289295,2018-07-31,3970000,경기도 과천시,
과천시 장애인복지관,복도,경기도,과천시,서민·복지시설,KT,Public WiFi free,2015-11,경기도 과천시 문원로 40(문원동),경기도 과천시 문원동 31-3,과천시청,02-3677-2301,37.4293516,127.0021252,2018-07-31,3970000,경기도 과천시,
과천시 노인복지관,복도,경기도,과천시,서민·복지시설,KT,Public WiFi free,2015-11,경기도 과천시 문원로 57(문원동),경기도 과천시 문원동 15-168,과천시청,02-3677-2301,37.4282428,127.0041803,2018-07-31,3970000,경기도 과천시,
과천시 새서울쇼핑(옥내),상가내 복도,경기도,과천시,기타,KT,Public WiFi free,2015-11,경기도 과천시 별양상가2로 20(별양동),경기도 과천시 별양동 1-18,과천시청,02-3677-2301,37.4269875,126.9924903,2018-07-31,3970000,경기도 과천시,
관문체육공원(관문체육관),체육관내,경기도,과천시,지역문화시설,KT,Public WiFi free,2015-11,경기도 과천시 중앙로 294(관문동),경기도 과천시 관문동 3,과천시청,02-3677-2301,37.4415112,126.9976805,2018-07-31,3970000,경기도 과천시,
과천시 정보과학도서관,열람실,경기도,과천시,교육시설,과천시,GC_LIB,2015-11,경기도 과천시 중앙로 24(갈현동),경기도 과천시 갈현동 677,과천시 정보과학도서관,02-2150-3024,37.4187454,126.9897174,2018-07-31,3970000,경기도 과천시,
과천시 부림동주민센터,민원실,경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 별양로 174(부림동),경기도 과천시 부림동 47,과천시청,02-3677-2301,37.4334614,126.9985402,2018-07-31,3970000,경기도 과천시,
과천시 시민회관,민원실,경기도,과천시,지역문화시설,KT,Public WiFi free,2015-11,경기도 과천시 통영로  5(중앙동),경기도 과천시 중앙동 6-2,과천시청,02-3677-2301,37.4281913,126.9891538,2018-07-31,3970000,경기도 과천시,
과천시 보건소,민원실,경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 관문로 69(중앙동),경기도 과천시 중앙동 1-3,과천시청,02-3677-2301,37.4302022,126.9867944,2018-07-31,3970000,경기도 과천시,
과천시 의회,민원실,경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 관문로 69(중앙동),경기도 과천시 중앙동 1-3,과천시청,02-3677-2301,37.4293982,126.9867944,2018-07-31,3970000,경기도 과천시,
과천시 중앙공원,공원내,경기도,과천시,기타,과천시,IamGwacheon,2015-11,,경기도 과천시 별양동 2-1,과천시청,02-3677-2301,37.4292109,126.9938233,2018-07-31,3970000,경기도 과천시,
과천시 별양동 상업지구,상업지구,경기도,과천시,기타,과천시,IamGwacheon,2017-04,경기도 과천시 별양상가1로 10,경기도 과천시 별양동 1-17,과천시청,02-3677-2300,37.4270501,126.992258,2018-07-31,3970000,경기도 과천시,
과천시 별양동 상업지구,상업지구,경기도,과천시,기타,과천시,IamGwacheon,2017-04,경기도 과천시 별양상가1로 30,경기도 과천시 별양동 1-8,과천시청,02-3677-2300,37.4284822,126.9932327,2018-07-31,3970000,경기도 과천시,
과천시 6번 시내버스,버스내,경기도,과천시,기타,과천시,IamGwacheon,2017-04,경기도 과천시 관문로 69,경기도 과천시 중앙동 1-3,과천시청,02-3677-2300,37.4294059,126.9880604,2018-07-31,3970000,경기도 과천시,
과천시 제일쇼핑(옥내),상가내 복도,경기도,과천시,기타,KT,Public WiFi free,2015-11,경기도 과천시 별양상가2로 14(별양동),경기도 과천시 별양동 1-13,과천시청,02-3677-2301,37.4275904,126.9931821,2018-07-31,3970000,경기도 과천시,
과천시 문원도서관,열람실,경기도,과천시,교육시설,과천시,MW_LIB,2015-11,경기도 과천시 문원로 104(문원동),경기도 과천시 문원동 178-3,과천시 정보과학도서관,02-2150-3024,37.4251353,127.0074437,2018-07-31,3970000,경기도 과천시,
과천시 시설관리공단 야외공연장,공연장,경기도,과천시,지역문화시설,과천시,IamGwacheon,2018-04,경기도 과천시 통영로  5(중앙동),경기도 과천시 중앙동 6-2,과천시청,02-3677-2300,37.4281913,126.9891538,2018-07-31,3970000,경기도 과천시,
부개어린이도서관,전체,인천광역시,부평구,교육시설,KT,,2012-06,인천광역시 부평구 동수로 166,,인천광역시 부평구청,032-509-6174,37.485484,126.737018,2018-02-14,3540000,인천광역시 부평구,
