도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,
고창군립성호도서관,전라북도,고창군,공공도서관,매주일요일,09:00,22:00,09:00,22:00,00:00,00:00,159,38883,8,123,5,14,전라북도 고창군 고창읍 모양성로 50,전라북도 고창군청,063-561-2421,778.26,778.26,http://lib.gccl.kr,35.4365872,126.7022941,2018-01-31,
고수해마루작은도서관,전라북도,고창군,작은도서관,매주일요일,09:00,18:00,09:00,15:00,00:00,00:00,13,10475,3,0,5,14,전라북도 고창군 고수면 고수로 18-5,전라북도 고창군청,063-561-2726,271,271,http://lib.gccl.kr,35.408068,126.679767,2018-01-31,
책나무도서관(서변동),대구광역시,북구,작은도서관,"토, 일, 법정공휴일",12:00,19:00,00:00,00:00,00:00,00:00,32,4000,0,0,0,0,대구광역시 북구 서변로91(서변동),,053-944-4007,,132,,35.923847,128.596509,2018-02-14,
꽃바위작은도서관,울산광역시,동구,작은도서관,월요일,10:00,18:00,10:00,18:00,10:00,18:00,25,22382,513,3,3,14,울산광역시 동구 문현3길 6(꽃바위문화관 1층),울산광역시동구청,052-209-4337,,,http//library.donggu.ulsan.kr,35.4870583057,129.411263588,2018-01-01,
화정작은도서관,울산광역시,동구,작은도서관,월요일,10:00,18:00,10:00,18:00,10:00,18:00,20,16883,787,4,3,14,울산광역시 동구 대송로 140(화정주민센터 1층),울산광역시동구청,052-209-3950,,,http//library.donggu.ulsan.kr,35.4958671116,129.422584595,2018-01-01,
전하작은도서관,울산광역시,동구,작은도서관,월요일,10:00,18:00,10:00,18:00,10:00,18:00,34,20314,768,4,3,14,울산광역시 동구 진성8길 91(바드래문화관 1층),울산광역시동구청,052-209-3936,,,http//library.donggu.ulsan.kr,35.5093552942,129.429324095,2018-01-01,
남목작은도서관,울산광역시,동구,작은도서관,월요일,10:00,18:00,10:00,18:00,10:00,18:00,27,17999,881,4,3,14,울산광역시 동구 방어진순환도로 1170(남목1동주민센터 2층),울산광역시동구청,052-209-3947,,,http//library.donggu.ulsan.kr,35.5392872553,129.42075508,2018-01-01,
동부도서관,울산광역시,동구,공공도서관,월요일,09:00,22:00,09:00,18:00,09:00,17:00,1002,248735,342,40501,5,14,울산광역시 동구 봉수로 505,울산광역시교육청,052-241-2300,,,https://www.usdl.or.kr/main/main.htm,35.5282041555,129.425073424,2018-01-01,
북구디지털도서관,부산광역시,북구,공공도서관,매주 월요일 및 국가지정 공휴일,07:00,23:00,07:00,23:00,00:00,00:00,96,132517,66,10307,5,14,부산광역시 북구 은행나무로 26 (만덕동),부산광역시 북구청,051-309-2091,2300,2894,http://library.bsbukgu.go.kr,35.2072331,129.0377821,2018-02-19,
화명도서관,부산광역시,북구,공공도서관,매주 월요일 및 국가지정 공휴일,07:00,23:00,07:00,23:00,00:00,00:00,579,128754,122,3570,5,14,부산광역시 북구 화명대로12번길 59(화명동),부산광역시 북구청,051-309-6481,1983,3859,http://hmlib.bsbukgu.go.kr,35.2326915,129.0093427,2018-02-19,
금곡도서관,부산광역시,북구,공공도서관,매주 월요일 및 국가지정 공휴일,07:00,23:00,07:00,23:00,00:00,00:00,97,31249,65,0,5,14,부산광역시 북구 효열로203번길 34(금곡동),부산광역시 북구청,051-309-6181,532,1772,http://bglib.bsbukgu.go.kr,35.2553478,129.0159231,2018-02-19,
북구디지털도서관,부산광역시,북구,공공도서관,매주 월요일 및 국가지정 공휴일,07:00,23:00,07:00,23:00,00:00,00:00,96,132517,66,10307,5,14,부산광역시 북구 은행나무로 26 (만덕동),부산광역시 북구청,051-309-2091,2300,2894,http://library.bsbukgu.go.kr,35.2072331,129.0377821,2018-02-19,
아산선운산작은도서관,전라북도,고창군,작은도서관,매주일요일,09:00,18:00,09:00,15:00,00:00,00:00,20,8799,0,0,5,14,전라북도 고창군 아산면 녹두로 786,전라북도 고창군청,063-561-1521,213,213,http://lib.gccl.kr,35.4398775,126.634828,2018-01-31,
대산큰별작은도서관,전라북도,고창군,작은도서관,매주일요일,09:00,18:00,09:00,15:00,00:00,00:00,8,4971,0,0,5,14,전라북도 고창군 대산면 시장길 19-2,전라북도 고창군청,063-564-1521,79.3,79.3,http://lib.gccl.kr,35.3405615,126.6003705,2018-01-31,
무장글샘작은도서관,전라북도,고창군,작은도서관,매주일요일,09:00,18:00,09:00,15:00,00:00,00:00,10,1784,0,0,5,14,전라북도 고창군 무장면 녹두로 8,전라북도 고창군청,063-561-2780,199.8,199.8,http://lib.gccl.kr,35.4190414,126.5607838,2018-01-31,
글마루작은도서관,전라북도,고창군,작은도서관,매주일요일,09:00,20:00,10:00,18:00,00:00,00:00,36,12985,7,0,5,10,전라북도 고창군 고창읍 모양성로 116-13,전라북도 고창행복원,063-564-2655,181,181,http://www.happyhappy.or.kr/,35.4420558,126.6999049,2018-01-31,
가수원도서관,대전광역시,서구,공공도서관,매주월요일 및 국가지정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,372,120508,43,3431,10,14,대전광역시 서구 가수원로 91-11 (가수원동),대전광역시 서구청,042-543-0051,4887,3877,http://gasuwonlib.or.kr,36.301633,127.348885,2018-02-13,
둔산도서관,대전광역시,서구,공공도서관,매주월요일 및 국가지정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,160,97190,43,2421,10,14,대전광역시 서구 청사로 263 (둔산동),대전광역시 서구청,042-471-2572,999,2367,http://dunsanlib.or.kr,36.360054,127.3931883,2018-02-13,
어린이도서관,대전광역시,서구,공공도서관,매주금요일 및 국가지정공휴일,10:00,19:00,10:00,19:00,10:00,19:00,110,45661,11,3652,5,14,대전광역시 서구 정림동로 25 (정림동),대전광역시 서구청,042-581-2574,859,530,http://childlib.or.kr,36.3050136,127.368613,2018-02-13,
갈마도서관,대전광역시,서구,공공도서관,매주월요일 및 국가지정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,308,170901,54,7986,10,14,대전광역시 서구 신갈마로127번길 138 (갈마동),대전광역시 서구청,042-533-4283,1488,2706,http://galmalib.or.kr,36.3408346,127.365568,2018-02-13,
강서도서관,부산광역시,강서구,공공도서관,매주 월요일 및 정부지정공휴일,07:00,23:00,07:00,23:00,07:00,23:00,303,111405,119,10031,5,14,"부산광역시 강서구 공항로811번길 10,강서도서관(대저2동,강서브라이트센터)",부산광역시 강서구청,051-970-4067,7471,3418,http://library.bsgangseo.go.kr,35.1806278,128.9570987,2018-02-20,
사랑나눔 작은도서관,광주광역시,북구,작은도서관,매주 일요일,10:00,21:00,10:00,17:00,00:00,00:00,10,2200,0,0,3,7,광주광역시 북구 우치로241번길 45(오치동),,,,39,,,,2017-09-21,
화명도서관,부산광역시,북구,공공도서관,매주 월요일 및 국가지정 공휴일,07:00,23:00,07:00,23:00,00:00,00:00,579,128754,122,3570,5,14,부산광역시 북구 화명대로12번길 59(화명동),부산광역시 북구청,051-309-6481,1983,3859,http://hmlib.bsbukgu.go.kr,35.2326915,129.0093427,2018-02-19,
금곡도서관,부산광역시,북구,공공도서관,매주 월요일 및 국가지정 공휴일,07:00,23:00,07:00,23:00,00:00,00:00,97,31249,65,0,5,14,부산광역시 북구 효열로203번길 34(금곡동),부산광역시 북구청,051-309-6181,532,1772,http://bglib.bsbukgu.go.kr,35.2553478,129.0159231,2018-02-19,
삼각산어린이도서관,서울특별시,강북구,공공도서관,매월둘째넷째월요일정부지정공휴일,09:00,18:00,09:00,17:30,09:00,17:30,182,12284,0,0,5,14,서울특별시 강북구 삼양로19길 34 (미아동),서울특별시강북구도시관리공단,02-944-3190,1500,2389,http://www.gblib.or.kr/kids,37.6615515,127.0200700,2018-02-22,
미아문화정보도서관,서울특별시,강북구,공공도서관,매월둘째넷째월요일정부지정공휴일,09:00,22:00,09:00,22:00,09:00,22:00,140,35236,45,0,5,14,서울특별시 강북구 솔매로49길 14 (미아동),서울특별시강북구도시관리공단,02-944-3180,1987,751,http://www.gblib.or.kr/suyu,37.6270633,127.0269805,2018-02-22,
수유문화정보도서관,서울특별시,강북구,공공도서관,매월첫째셋째월요일정부지정공휴일,09:00,22:00,09:00,22:00,09:00,22:00,152,36361,34,0,5,14,서울특별시 강북구 삼양로 299 (수유동),서울특별시강북구도시관리공단,02-944-3170,990,951,http://www.gblib.or.kr/mia,37.630129,127.017543,2018-02-22,
송중문화정보도서관,서울특별시,강북구,공공도서관,매월첫째셋째월요일정부지정공휴일,09:00,22:00,09:00,22:00,09:00,22:00,67,27916,21,0,5,14,서울특별시 강북구 도봉로20나길 6 (미아동),서울특별시강북구도시관리공단,02-944-3160,485,511,http://www.gblib.or.kr/songjung,37.6183421,127.0300331,2018-02-22,
솔샘문화정보도서관,서울특별시,강북구,공공도서관,매월첫째셋째월요일정부지정공휴일,09:00,22:00,09:00,22:00,09:00,22:00,132,53612,50,2303,5,14,서울특별시 강북구 솔샘로 177 (미아동),서울특별시강북구도시관리공단,02-944-3150,1019,944,http://www.gblib.or.kr/solsem,37.6205181,127.0124524,2018-02-22,
강북청소년문화정보도서관,서울특별시,강북구,공공도서관,매월둘째넷째월요일정부지정공휴일,09:00,22:00,09:00,22:00,09:00,22:00,154,41010,55,24,5,14,서울특별시 강북구 삼양로54길 68 (미아동),서울특별시강북구도시관리공단,02-944-3140,692,1777,http://www.gblib.or.kr/youth,37.6231131,127.0216031,2018-02-22,
사랑의 문고,광주광역시,북구,작은도서관,매주 일요일,14:00,18:00,14:00,18:00,00:00,00:00,20,2000,0,0,3,7,광주광역시 북구 일곡택지로53번길 27(일곡동),,,,54,,,,2017-09-21,
강북문화정보도서관,서울특별시,강북구,공공도서관,매월둘째넷째월요일정부지정공휴일,09:00,23:00,09:00,23:00,09:00,23:00,282,197717,96,36287,5,14,서울특별시 강북구 오현로 145 (번동),서울특별시강북구도시관리공단,02-944-3100,8002,5574,http://www.gblib.or.kr/gangbuk,37.6251737,127.0361251,2018-02-22,
수비면 작은도서관,경상북도,영양군,작은도서관,"매주 월, 화요일, 국가지정 공휴일",09:00,18:00,09:00,18:00,09:00,18:00,6,2492,0,0,3,7,경상북도 영양군 수비면 뒷골길 16-4,경상북도 영양군청,054-683-3600,350,136.24,없음,36.766102,129.203631,2018-02-20,
입암면 작은도서관,경상북도,영양군,작은도서관,"매주 월, 화요일, 국가지정 공휴일",09:00,18:00,09:00,18:00,09:00,18:00,23,2000,0,0,3,7,경상북도 영양군 입암면 조기리길 18,경상북도 영양군청,054-683-9691,900,135.24,없음,36.594446,129.090222,2018-02-20,
영양공공도서관,경상북도,영양군,공공도서관,"매주 월요일, 국가지정 공휴일",09:00,18:00,09:00,18:00,09:00,18:00,367,81754,310,5193,5,14,경상북도 영양군 영양읍 팔수로 538,경상북도 영양교육청,054-683-2829,1800,1125,www.yylib.go.kr,36.661005,129.111181,2018-02-20,
용운도서관,대전광역시,동구,공공도서관,매주 월요일,08:00,22:00,08:00,22:00,08:00,22:00,400,115050,22,14538,5,14,대전광역시 동구 새울로 68번길 23-23,대전 동구,042-259-7021,2134,1937,http://lib.donggu.go.kr/html/library/yongunlib/,36.325317,127.463997,2018-02-19,
갈마도서관,대전광역시,서구,공공도서관,매주 월요일,08:00,22:00,08:00,22:00,08:00,22:00,800,170901,54,7932,10,14,대전광역시 서구 신갈마로 127번길 138,대전 서구,042-533-4283,1488,2706,http://www.galmalib.or.kr/flow/,36.340835,127.365748,2018-02-19,
가수원도서관,대전광역시,서구,공공도서관,매주 월요일,08:00,22:00,08:00,22:00,08:00,22:00,781,120508,43,3388,10,14,대전광역시 서구 가수원로 91-11,대전 서구,042-543-0051,4887,3877,http://gasuwonlib.or.kr/flow/,36.301634,127.348937,2018-02-19,
둔산도서관,대전광역시,서구,공공도서관,매주 월요일,08:00,22:00,08:00,22:00,08:00,22:00,470,97190,43,1850,10,14,대전광역시 서구 청사로 263,대전 서구,042-471-2572,999,2367,http://www.dunsanlib.or.kr/flow/,36.360027,127.393188,2018-02-19,
서구어린이도서관,대전광역시,서구,공공도서관,매주 금요일,10:00,19:00,10:00,19:00,10:00,19:00,150,45661,11,2997,10,14,대전광역시 서구 정림동길 25,대전 서구,042-581-2574,560,560,http://childlib.or.kr/flow/,36.360027,127.393188,2018-02-19,
상사용암,전라남도,순천시,작은도서관,토 일 공휴일,12:00,18:00,12:00,18:00,00:00,00:00,30,7452,0,0,10,14,전라남도 순천시 용암길 17,전라남도 순천시청,,56.1,,https://library.sc.go.kr/,34.926546,127.439308,2017-06-30,
극동스타클래스작은도서관,부산광역시,강서구,작은도서관,일요일,09:00,21:00,10:00,12:00,00:00,00:00,140,7300,0,0,5,14,부산광역시 강서구 명지오션시티2로 71,극동스타클래스 아파트,051-271-2142,367,367,,,,2018-02-20,
링컨타운책벌레작은도서관,부산광역시,강서구,작은도서관,"화, 목, 토, 일요일",13:00,17:00,00:00,00:00,00:00,00:00,30,4100,0,0,5,14,부산광역시 강서구 명지오션시티10로 16,퀸덤1차 링컨타운아파트,051-271-7170,121,121,,,,2018-02-20,
아인슈타인타운책벌레작은도서관,부산광역시,강서구,작은도서관,"화, 목, 금, 토, 일요일",13:00,18:00,00:00,00:00,00:00,00:00,40,3500,0,0,5,14,부산광역시 강서구 명지오션시티11로 51,퀸덤1차 아이슈타인타운,051-271-7781,129,129,,,,2018-02-20,
에디슨타운책벌레작은도서관,부산광역시,강서구,작은도서관,"월, 수, 금, 토, 일",17:00,21:00,00:00,00:00,00:00,00:00,23,3100,0,0,5,14,부산광역시 강서구 명지오션시티10로 17,퀸덤1차 에디슨타운,051-271-0541,131,131,,,,2018-02-20,
작은도서관 시민책방,부산광역시,강서구,작은도서관,"토요일, 일요일",09:00,18:00,00:00,00:00,00:00,00:00,50,5000,0,0,5,14,부산광역시 강서구 천성로39번길 19-3 도래원,연구공간 브로컨스톤,051-202-0323,281,281,,,,2018-02-20,
하늘나무작은도서관,부산광역시,강서구,작은도서관,"토요일, 일요일",09:00,18:00,00:00,00:00,00:00,00:00,20,1100,0,0,5,14,부산광역시 강서구 명지오션시티12로 75 401호,재크와콩나무,051-271-0715,93,93,,,,2018-02-20,
책나무작은도서관,부산광역시,강서구,작은도서관,"토요일, 일요일",09:00,18:00,00:00,00:00,00:00,00:00,10,7200,0,0,5,14,부산광역시 강서구 대저로63번길 31 강서구종합사회복지관,강서구종합사회복지관,051-972-4591,45,45,,,,2018-02-20,
명지한신휴플러스작은도서관,부산광역시,강서구,작은도서관,"화, 목, 토, 일요일",10:00,17:00,00:00,00:00,00:00,00:00,60,1500,0,0,5,14,부산광역시 강서구 명지오션시티1로 155,명지한신휴플러스,051-271-2750,332,332,,,,2018-02-20,
솔마레작은도서관,부산광역시,강서구,작은도서관,"토요일, 일요일",09:00,18:00,00:00,00:00,00:00,00:00,107,1100,0,0,5,14,부산광역시 강서구 명지오션시티12로 10,엘크루솔마레아파트,051-271-3999,382,382,,,,2018-02-20,
에일린의뜰작은도서관,부산광역시,강서구,작은도서관,"토요일, 일요일",09:00,18:00,00:00,00:00,00:00,00:00,30,1200,0,0,5,14,부산광역시 강서구 명지국제5로 60,명지에일린의뜰,051-291-8855,65,65,,,,2018-02-20,
동행작은도서관,부산광역시,강서구,작은도서관,없음,09:00,18:00,09:00,18:00,09:00,18:00,32,1200,0,0,5,14,부산광역시 강서구 명지국제6로 288 동행교회 1층,동행교회,051-204-1191,121,121,,,,2018-02-20,
지사꿈꾸는작은도서관,부산광역시,강서구,작은도서관,"토요일, 일요일",09:00,18:00,00:00,00:00,00:00,00:00,13,5000,0,0,5,14,부산광역시 강서구 과학산단2로 20번길 69 금강펜테리움 인포넷센터,지사금강펜테리움 작은도서관 운영위원회,051-941-1184,77,77,,,,2018-02-20,
대방2차Book적Book적작은도서관,부산광역시,강서구,작은도서관,"토요일, 일요일",09:00,18:00,00:00,00:00,00:00,00:00,62,2000,0,0,5,14,부산광역시 강서구 명지국제5로 11,명지대방노블랜드 오션뷰2차,051-294-8705,149,149,,,,2018-02-20,
소담북카페,부산광역시,강서구,작은도서관,없음,09:00,18:00,09:00,18:00,09:00,18:00,13,2500,0,0,5,14,부산광역시 강서구 명지국제8로 289 팔봉프라자 5층,동일교회,051-203-0199,77,77,,,,2018-02-20,
호반베르디움작은도서관,부산광역시,강서구,작은도서관,"토요일, 일요일",09:00,18:00,00:00,00:00,00:00,00:00,15,1000,0,0,5,14,부산광역시 강서구 명지국제5로 29,명지 국제신도시 호반베르디움 1차,051-271-8826,285,285,,,,2018-02-20,
가람작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,17:00,09:00,13:00,00:00,00:00,48,3835,0,0,3,14,서울특별시 강서구 양천로 57길 36,-,02-2668-4603,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.541148,126.848519,2018-02-19,
초록동작은도서관,서울특별시,강서구,작은도서관,일요일,09:30,16:30,00:00,00:00,00:00,00:00,60,3234,0,0,3,14,서울특별시 강서구 초록마을로 14길 36,-,02-2065-7670,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.570358,126.805481,2018-02-19,
꿈자람책놀이터,서울특별시,강서구,작은도서관,일요일,10:00,18:00,12:00,16:00,00:00,00:00,30,11301,0,0,3,14,서울특별시 강서구 개화동로21길 4,-,070-4881-8862,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.479151,126.941550,2018-02-19,
해뜰 작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,18:00,09:00,16:00,00:00,00:00,36,6898,0,0,3,14,서울특별시 강서구 방화대로48길 40,-,02-2662-6669,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.574999,126.818816,2018-02-19,
옹기종기 작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,18:00,00:00,00:00,00:00,00:00,33,5876,0,0,3,14,서울특별시 강서구 공항대로61길 50,새마을문고,02-3663-4155,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.553412,126.849585,2018-02-19,
수명산 작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,18:00,09:00,18:00,00:00,00:00,60,7903,0,0,3,14,서울특별시 강서구 수명로 1길 131,새마을문고,02-2666-0037,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.554646,126.832447,2018-02-19,
방그리나 작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,18:00,09:00,13:00,00:00,00:00,34,3995,0,0,3,14,서울특별시 강서구 금낭화로24길 5,새마을문고,02-2600-5267,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.578701,126.811352,2018-02-19,
채움 작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,18:00,00:00,00:00,00:00,00:00,30,6365,0,0,3,14,서울특별시 강서구 개화동로23길 20,새마을문고,02-2600-5225,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.566703,126.804548,2018-02-19,
글벗누리 작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,18:00,00:00,00:00,00:00,00:00,46,8883,0,0,3,14,서울특별시 강서구 방화동로124-1,새마을문고,02-2600-7962,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.571508,126.810019,2018-02-19,
송정 작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,18:00,09:30,13:30,00:00,00:00,30,6165,0,0,3,14,서울특별시 강서구 송정로 45,새마을문고,02-2600-7932,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.558815,126.807964,2018-02-19,
책향기 작은도서관,서울특별시,강서구,작은도서관,일요일,10:00,18:00,09:00,13:00,00:00,00:00,48,9829,0,0,3,14,서울특별시 강서구 강서로47길 54,새마을문고,02-2600-7874,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.553094,126.830962,2018-02-19,
도리샘 작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,18:00,10:00,15:00,00:00,00:00,20,5828,0,0,3,14,서울특별시 강서구 허준로 202,-,02-2600-7856,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.567370,126.849099,2018-02-19,
구암마을 작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,18:00,09:30,13:30,00:00,00:00,35,7609,0,0,3,14,서울특별시 강서구 허준로 93,버팀목,02-2600-7813,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.567370,126.849099,2018-02-19,
도란도란쉼터 작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,17:30,10:00,14:00,00:00,00:00,60,9409,0,0,3,14,서울특별시 강서구 허준로30,-,02-2600-7778,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.569453,126.842516,2018-02-19,
내발산 작은도서관,서울특별시,강서구,작은도서관,일요일,09:30,18:00,09:30,13:30,00:00,00:00,35,8785,0,0,3,14,서울특별시 강서구 강서로52길89,새마을문고,02-2600-7756,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.557510,126.841017,2018-02-19,
배다리 작은도서관,서울특별시,강서구,작은도서관,일요일,10:00,18:00,10:00,14:00,00:00,00:00,45,8262,0,0,3,14,서울특별시 강서구 곰달래로25길 45,-,02-2600-7701,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.532680,126.846128,2018-02-19,
역마을 작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,18:00,00:00,00:00,00:00,00:00,60,5155,0,0,3,14,서울특별시 강서구 화곡로312,-,02-2600-7660,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.551761,126.847877,2018-02-19,
볏고을 작은도서관,서울특별시,강서구,작은도서관,일요일,10:00,18:00,10:00,13:00,00:00,00:00,20,6733,0,0,3,14,서울특별시 강서구 곰달래로57가길26,-,02-2600-2275,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.534568,126.858515,2018-02-19,
책마루 작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,18:00,09:00,13:00,00:00,00:00,50,8070,0,0,3,14,서울특별시 강서구 강서로33가길 17,새마을문고,02-2600-7577,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.542512,126.836212,2018-02-19,
옹달샘 작은도서관,서울특별시,강서구,작은도서관,일요일,09:00,18:00,09:00,13:00,00:00,00:00,30,5965,0,0,3,14,서울특별시 강서구 곰달래로37길 13,곰달래봉사단,02-2600-7545,,,http://lib.gangseo.seoul.kr/small/index.jsp,37.531791,126.852266,2018-02-19,
