야영(캠핑)장명,야영(캠핑)장구분,위도,경도,소재지도로명주소,소재지지번주소,야영장전화번호,야영사이트수,부지면적,건축연면적,1일최대수용인원수,주차장면수,편의시설,안전시설,기타부대시설,이용시간,이용요금,관리기관전화번호,관리기관명,데이터기준일자,
문경레저투어캠핑장,야영장,36.661031,128.122965,,경상북도 문경시 마성면 신현리 130-2,000-0000-0000,20,,,100,,하수도시설+ 취사시설+ 화장실+ 전기시설,소화기+ 확성기+ 안전게시물+ 관리요원,,,,054-550-6397,경상북도 문경시청,2018-02-20,
수예리오토캠핑장,자동차야영장,36.600140,128.053774,,경상북도 문경시 가은읍 수예리 383,000-0000-0000,14,,,70,,상하수도시설+ 전기시설+ 화장실+ 샤워실+ 취사시설,소화기+ 확성기+ 안전게시물+ 관리요원,,,,054-550-6397,경상북도 문경시청,2018-02-20,
가은해솔캠핑장,야영장,36.682477,128.015507,경상북도 문경시 가은읍 원북길 148-15,경상북도 문경시 가은읍 원북리 177-6,000-0000-0000,9,,,50,,하수도시설+ 취사시설+ 화장실+ 전기시설,소화기+ 확성기+ 안전게시물+ 관리요원,,,,054-550-6397,경상북도 문경시청,2018-02-20,
녹색오토캠핑장,야영장,36.669952,127.986613,경상북도 문경시 대야로 1560,경상북도 문경시 가은읍 완장리 223,000-0000-0000,12,,,60,,하수도시설+ 취사시설+ 화장실+ 전기시설,소화기+ 확성기+ 안전게시물+ 관리요원,,,,054-550-6397,경상북도 문경시청,2018-02-20,
일영모자농원캠핑장,야영장,37.7082969,126.9529389,경기도 양주시 장흥면 유원지로 316,경기도 양주시 장흥면 삼상리 10-2,031-855-5081,15,,,60,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
휴리조트캠핑장,야영장,37.7848474,127.1014518,경기도 양주시 만송로366번길 215-31,경기도 양주시 만송동 83-30,031-845-1111,7,,,32,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
안태울캠핑장,야영장,37.8719981,126.9502713,경기도 양주시 광적면 화합로 81번길 375-66,경기도 양주시 광적면 효촌리 230,031-871-1388,36,,,145,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
범산골캠핑장,야영장,37.8040904,126.9139949,경기도 양주시 광적면 부흥로 34-17,경기도 양주시 광적면 비암리 757-10,000-0000-0000,26,,,130,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
전원일기 오토캠핑장,자동차야영장,37.6724125,126.9100036,경기도 양주시 장흥면 일영로327번길 227-19,경기도 양주시 장흥면 삼하리 210-1,000-0000-0000,30,,,120,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
들꽃피는언덕 캠핑장,야영장,37.7760606,126.9600556,경기도 양주시 백석읍 권율로 870,경기도 양주시 백석읍 기산리 181-1,031-876-0072,6,,,24,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
미술관옆캠핌장,야영장,37.762008,126.9668048,경기도 양주시 장흥면 권율로 642-8 미술관옆캠핑장,경기도 양주시 장흥면 석현리 1-1,031-828-9881,35,,,140,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
글램핑코리아,야영장,37.7742051,126.9613847,경기도 양주시 백석읍 권율로 848,경기도 양주시 백석읍 기산리 136-1,070-7775-8681,15,,,60,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
양주산막골캠핑장,야영장,37.7747889,126.9375256,경기도 양주시 백석읍 기산로 414-20,경기도 양주시 백석읍 기산리 385,031-871-0058,28,,,112,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
대궐오토캠핑장,야영장,37.7686185,126.9394718,경기도 양주시 백석읍 기산로440번길 177,경기도 양주시 백석읍 기산리 364-4,031-871-8989,10,,,40,,전기시설+하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
장흥수목원캠핑장,야영장,37.7453161,126.9501683,경기도 양주시 장흥면 권율로309번길 169,경기도 양주시 장흥면 석현리 329-1,031-855-1053,6,,,56,,전기시설+하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
양주감악산캠핑장,자동차야영장,37.9142093,126.9562684,경기도 양주시 남면 감악산로 632-32,경기도 양주시 남면 신암리 199-1,000-0000-0000,25,,,60,,전기시설+하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
캠프리카캠핑장,야영장,37.7706724,126.9390274,경기도 양주시 백석읍 기산로440번길 127,경기도 양주시 기산리 362,000-0000-0000,20,,,80,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
함양용추오토캠핑장,자동차야영장,35.674730,127.773407,경상남도 함양군 안의면 용추계곡로 491-12,,055-960-5163,35,,,140,,-,방송장비,,,,055-960-5163,경상남도 함양군청,2017-05-22,
기산골캠핑장,야영장,37.7765896,126.935391,경기도 양주시 백석읍 기산로 413,경기도 양주시 백석읍 기산리 393-2,031-871-9008,15,,,60,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
양주송천캠핑장,야영장,37.7738432,126.9379691,경기도 양주시 백석읍 기산로 440번길 74-19,경기도 양주시 백석읍 기산리 382-3,000-0000-0000,18,,,72,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
비타민캠핑장,야영장,37.7705906,126.9377449,,경기도 양주시 백석읍 기산리 369,031-876-3377,17,,,85,,전기시설+하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
선녀와나무꾼,야영장,37.8266935,127.0465438,경기도 양주시 평화로1501번길 90,경기도 양주시 덕계동 540,031-863-2110,4,,,60,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
해피캠핑장,야영장,37.7808376,126.9438884,경기도 양주시 백석읍 기산로471번길 110,경기도 양주시 백석읍 기산리 302-5,000-0000-0000,13,,,52,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
일영무두리캠핑장,야영장,37.7004649,126.9470818,경기도 양주시 장흥면 유원지로 176-77,경기도 양주시  장흥면 삼상리 28-14,031-855-6102,19,,,100,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-8082-5662,양주시청(문화관광과),2018-01-01,
북한산 캠핑장,야영장,37.6517679,126.9384780,서울특별시 은평구 북한산로 248-3 (진관동),서울특별시 은평구 진관동 330-14번지,02-351-6535,10,991,34,40,100,화장실+개수대 6칸+조리대 1칸+샤워실,대피공간,,,"주중 : 99,000원+금요일 : 114,000원+주말 : 134,000원",02-351-6535,서울특별시 은평구청,2018-02-14,
소풍정원캠핑장,야영장,37.0116327,127.0196461,경기도 평택시 고덕면 새악길 43-42,경기도 평택시 고덕면 궁리 476-12번지,031-8024-4281,47,25380,200,188,23,전기시설+상하수도시설+샤워실,소화기+대피공간,,지정일 14:00~익일 12:00,20000,031-8024-3231,경기도 평택시청,2018-02-19,
진위천시민유원지자동차야영장,야영장,37.0980342,127.0865841,경기도 평택시 진위면 진위서로 264-15,경기도 평택시 진위면 봉남리 432번지,031-655-6231,76,12205,250,256,470,전기시설+상하수도시설+샤워실,소화기+대피공간,,지정일 14:00~익일 12:00,15000,031-8024-3231,경기도 평택시청,2018-02-19,
덕암호캠핑장,야영장,37.0631572,127.1057836,경기도 평택시 안골길 85-47 (도일동),경기도 평택시 도일동 381-3번지,000-0000-0000,50,9266,800,200,50,전기시설+상하수도시설+샤워실,소화기+대피공간,,지정일 14:00~익일 12:00,30000,031-8024-3231,경기도 평택시청,2018-02-19,
백운산체험농장,야영장,37.0246552,127.1484134,경기도 평택시 월곡길 124-272 (월곡동),경기도 평택시 월곡동 108-1번지,000-0000-0000,4,428,40,16,4,전기시설+상하수도시설+샤워실,소화기+대피공간,,지정일 14:00~익일 12:00,40000,031-8024-3231,경기도 평택시청,2018-02-19,
울성캠핑낚시터,야영장,37.0161619,127.059234,경기도 평택시 울성길 237-20 (지제동),경기도 평택시 지제동 815-1번지,000-0000-0000,20,2050,200,80,10,전기시설+상하수도시설+샤워실,소화기+대피공간,,지정일 14:00~익일 12:00,30000,031-8024-3231,경기도 평택시청,2018-02-19,
만석꾼캠핑장,야영장,35.331168,129.270597,,부산광역시 기장군 장안읍 월내리 368-1번지,000-0000-0000,12,2100,405.58,24,8,화장실+샤워실+취사장+매점+전기시설+상하수시설,소화기+대피소,,24시간,35000,051-709-4081,부산광역시 기장군청,2018-02-14,
이지고 글램핑,야영장,35.279265,129.202113,부산광역시 기장군 일광면 곡천길 286-61,부산광역시 기장군 일광면 용천리 945번지,000-0000-0000,1,1095,77.85,20,4,화장실+샤워실+취사장+매점+전기시설+상하수시설,소화기+ 화재감지기+ 대피소,글램핑,24시간,40000~80000,051-709-4081,부산광역시 기장군청,2018-02-14,
호수글램핑,야영장,35.346579,129.185257,부산광역시 기장군 정관읍 병산로 221-19,부산광역시 기장군 정관읍 병산리 550-1번지,051-727-3250,10,2795,453.08,60,15,화장실+샤워실+취사장+매점+전기시설+상하수시설,소화기+ 화재감지기+ 대피소,,24시간,134000~208000,051-709-4081,부산광역시 기장군청,2018-02-14,
호수글램핑,야영장,35.272268,129.248867,부산광역시 기장군 일광면 일광로 292,부산광역시 기장군 일광면 이천리 145-20번지,051-724-1106,10,2791,95.04,27,,화장실+샤워실+취사장+전기시설+상하수시설,소화기+ 화재감지기+ 대피소,,24시간,100000~200000,051-709-4081,부산광역시 기장군청,2018-02-14,
호수글램핑,야영장,35.309454,129.259321,부산광역시 기장군 일광면 일광로 763,부산광역시 기장군 일광면 문동리 72번지,051-727-2111,2,2763,112.74,100,30,화장실+샤워실+취사장+전기시설+상하수시설,소화기+ 화재감지기+ 대피소,카라반,24시간,80000~360000,051-709-4081,부산광역시 기장군청,2018-02-14,
장태산자연휴양림 캠핑장,자동차야영장,36.218511,127.340227,"대전광역시 서구 장안로 461 (장안동, 장태산휴양림관리사무소)",대전광역시 서구 장안동 산 46-1번지,042-270-2001,20,4237,138.62,100,27,"상.하수도시설, 전기시설, 화장실, 취사시설,샤워실","소화기, 확성기 등 방송장비, 안내판, 대피공간, 관리요원",체육시설,당일 14시 ~ 다음날 13시,"A~C구역 성수기25,000원 비수기20,000원",042-270-7883,장태산자연휴양림사무소,2018-02-13,
시흥갯골캠핑장,야영장,37.389615,126.762723,경기도 시흥시 동서로 137-71,경기도 시흥시 월곶로 520-240,031-488-6998,42,38157,123,264,300,화장실+음수대+샤워실,소화기+확성기,고정형텐트 3동,지정일 14:00~익일 11:00,"일반데크 : 35,000원 + 일반데크(시흥시민) : 25,000원 + 패키지존(칠면초 5~6번) : 65,000원 침낭,텐트,트윈버너,바닥매트,코펠 제공 + 게르(모새달) : 90,000원 + 게르(모새달, 시흥시민) : 70,000원",031-488-6998,시흥시시설관리공단,2018-02-19,
㈜가야랜드 달빛야영장,자동차야영장,35.259523,128.905363,경상남도 김해시 신어산길 67 (삼방동),경상남도 김해시 삼방동 826번지,055-332-9100,140,23910,871.93,500,115,"화장실, 샤워실","소화기, 연기감지기 개별지급, 확성기 등 방송장비, 대피공간","글램핑, 카라반",,"카라반:130,000~240,000 글램핑:100,000~200,000 일반야영장:40,000~50,000 미니글램핑:70,000~100,000",055-330-3241,경상남도 김해시청,2018-02-18,
천문대오토캠핑장,자동차야영장,35.275969,128.888009,경상남도 김해시 생림면 인제로 545-59,경상남도 김해시 생림면 나전리 30-6번지,055-311-3324,46,14542,821.73,186,56,"화장실, 개수대, 샤워실","소화기 16개, CCTV 8대, 메인앰프 1대, 대피공간",,,"35,000~50,000",055-330-3241,경상남도 김해시청,2018-02-18,
카라반 르 몽드,자동차야영장,35.251494,128.891367,경상남도 김해시 가야테마길 161(어방동),경상남도 김해시 어방동 993번지,1800-0947,30,9220,267.79,140,32,"화장실, 취사시설, 샤워실","소화기 35개, 비상대피공간",카라반,,"69,000~159,000",055-330-3241,경상남도 김해시청,2018-02-18,
김해생림오토캠핑장,자동차야영장,35.365426,128.812029,,경상남도 김해시 생림면 마사리 1322-6번지,055-338-9925,65,38000,0,224,30,"화장실, 샤워실","소화기 37개, CCTV 6대, 스피커 10대, 대피공간",정자 2개소,,24000원,055-330-4823,경상남도 김해시청,2018-02-18,
썬오브캠핑장,야영장,38.0874504,127.389502,경기도 포천시 이동면 금강로 6263번길 14,경기도 포천시 이동면 도평리 538-6,031-542-5420,10,,,40,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광사업과),2017-11-21,
청암산오토캠핑장,자동차야영장,35.938311,126.747699,전라북도 군산시 옥산면 대위로 50,전라북도 군산시 옥산면 남내리 737,063-465-3357,57,,,364,43,샤워부스+개수대+남자화장실+여자화장실+화로대+전기시설,소화기+화재감지기,"물놀이장, 다목적구장, 바닥분수 등",14:00 ~ 익일12:00,35000,063-454-3344,전라북도 군산시청,2018-01-01,
새만금오토캠핑장,자동차야영장,35.835783,126.495285,전라북도 군산시 새만금로 1844,전라북도 군산시 옥도면 야미도리 166,063-466-0252,85,,,340,40,샤워부스+개수대+오물처리장+남자화장실+여자화장실+전기시설+캠핑장비대여+온수시설,소화기,"피크닉장, 다목적광장, 수영장 등",13:00 ~ 익일12:00,33000,063-454-3336,전라북도 군산시청,2018-01-01,
낙동강 레포츠밸리 구지오토캠핑장,자동차야영장,35.673095,128.369691,대구광역시 달성군 구지면 구지서로 199,대구광역시 달성군 구지면 오설리 756번지,053-659-4151,23,,,130,,전기시설+상하수도시설+화장실+샤워실+취사시설,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2018-01-31,
낙동강 레포츠밸리 강변오토캠핑장,자동차야영장,35.673719,128.366371,,대구광역시 달성군 구지면 오설리 873번지,053-659-4151,29,,,105,,전기시설+상하수도시설+화장실+샤워실+취사시설,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2018-01-31,
포레스트 12 자연휴양림,야영장,35.787559,128.632627,대구광역시 달성군 가창면 가창로175길 8,대구광역시 달성군 가창면 냉천리 산27-2번지,053-608-5000,49,,,200,,전기시설+상하수도시설+화장실+샤워실+취사시설,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2018-01-31,
비슬산 숲속 오토캠핑장,야영장,35.691786,128.507749,,대구광역시 달성군 유가면 용리 산15번지,053-659-4412,43,,,250,,전기시설+상하수도시설+화장실+샤워실+취사시설,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2018-01-31,
가창농원 야영장,야영장,35.727652,128.679247,대구광역시 달성군 가창면 가창로10길 56,대구광역시 달성군 가창면 삼산리 128번지,053-767-5295,7,,,30,,전기시설+상하수도시설+화장실+샤워실,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2018-01-31,
오투글램핑,야영장,35.739546,128.495432,대구광역시 달성군 옥포면 옥포로 111길 95-17,대구광역시 달성군 옥포면 김흥리 952-1번지,053-616-1868,10,,,40,,전기시설+상하수도시설+화장실+샤워실,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2018-01-31,
호수글램핑,야영장,35.290008,129.234422,부산광역시 기장군 일광면 기장대로 1075-6,부산광역시 기장군 일광면 화전리 9-1번지,051-721-6171,10,1380,250.61,40,10,화장실+샤워실+취사장+전기시설+상하수시설,소화기+ 대피소,,24시간,35000,051-709-4081,부산광역시 기장군청,2018-02-14,
호수글램핑,야영장,35.258082,129.235124,부산광역시 기장군 일광면 기장해안로 1272 (약수터민박),부산광역시 기장군 일광면 삼성리 151-1번지,000-0000-0000,1,495.8,,37,8,화장실+샤워실+취사장+전기시설+상하수시설,소화기+ 화재감지기+ 대피소,카라반,24시간,100000~300000,051-709-4081,부산광역시 기장군청,2018-02-14,
호수글램핑,야영장,35.277432,129.234102,부산광역시 기장군 일광면 이천8길 132-20,부산광역시 기장군 일광면 화전리 135번지,051-714-0838,4,4065,182.84,16,11,화장실+샤워실+취사장+전기시설+상하수시설,소화기+ 화재감지기+ 대피소,글램핑,24시간,130000~200000,051-709-4081,부산광역시 기장군청,2018-02-14,
호수글램핑,야영장,35.323129,129.270438,부산광역시 기장군 장안읍 해맞이로 290,부산광역시 기장군 장안읍 월내리 552-15번지,1577-8446,1,659,78.37,48,12,화장실+샤워실+취사장+매점+전기시설+상하수시설,소화기+ 화재감지기+ 대피소,카라반,24시간,97000~185000,051-709-4081,부산광역시 기장군청,2018-02-14,
호수글램핑,야영장,35.345588,129.187468,부산광역시 기장군 정관읍 병산1길 18 (병산골정원),부산광역시 기장군 정관읍 병산리 566번지,051-727-3067,7,5854,399.72,60,20,화장실+샤워실+취사장+매점+전기시설+상하수시설,소화기+ 화재감지기+ 대피소,글램핑,24시간,30000~200000,051-709-4081,부산광역시 기장군청,2018-02-14,
동강리오토캠핑장,자동차야영장,36.340195,126.980103,충청남도 청양군 청남면 금강변로 868-135번지,,041-940-2706,42,50000,,168,42,족구장2+샤워장2+취사실+화장실2,소화기,,지정일14:00~익일12:00,A-35000 B-25000,041-940-2445,충청남도 청양군청,2018-02-13,
칠갑산오토캠핑장,자동차야영장,36.396011,126.863199,충청남도 청양군 대치면 까치내로 710,,041-940-2700,75,3726,,375,2,취사시설2+샤워실2+화장실1,소화기,,당일14:00~익일12:00,,041-940-4851,충청남도 청양군청,2018-02-13,
벨라,야영장,37.898243,127.117838,경기도 동두천시 탑신로 237번길 39,경기도 동두천시 탑동동 322-6,000-0000-0000,23,2327,,150,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,글램핑 5동,,,031-860-2067,경기도 동두천시청,2018-02-13,
송백농원캠핑장,야영장,35.444432,129.048019,경상남도 양산시 외석길 76-26,경상남도 양산시 상북면 외석리 315,055-374-2948,15,3266,592,60,15,상하수도+ 전기시설+ 화장실+ 샤워실,소화기+ 확성기+ 안전게시물+ 대피공간+ 관리요원,없음,,,055-392-2562,경상남도 양산시청,2018-02-14,
대운산 자연휴양림 캠핑장,야영장,35.417683,129.203843,경상남도 양산시 탑골길 208-124,경상남도 양산시 용당동 산66,055-379-8670,95,2400000,1524.2,600,150,상하수도+ 화장실+ 샤워실,소화기+ 확성기+ 안전게시물+ 대피공간+ 관리요원,숲속의집16동+카라반5동+산림문화휴양관1동,지정일 12:00~익일 11:00,1~22구역:15000원+23~101구역:10000원,055-379-8670,경상남도 양산시설관리공단,2018-02-14,
파래소 가든,야영장,35.523518,129.009275,경상남도 양산시 청수골길 43-21,경상남도 양산시 원동면 선리 99,052-264-1999,5,2291,506,30,5,상하수도+ 화장실+ 샤워실,소화기+ 확성기+ 안전게시물+ 대피공간+ 관리요원,없음,,,055-392-2562,경상남도 양산시청,2018-02-14,
양산 파브르 캠핑장,야영장,35.331029,129.027508,경상남도 양산시 양주로 32,경상남도 양산시 남부동 608-4,000-0000-0000,13,1539,116,60,13,상하수도+ 전기시설+ 화장실+ 샤워실,소화기+ 확성기+ 안전게시물+ 대피공간+ 관리요원,없음,,,055-392-2562,경상남도 양산시청,2018-02-14,
지금부터 힐링캠프,야영장,35.389801,129.139003,경상남도 양산시 신명3길 152,경상남도 양산시 주진동 583-41,070-4623-1833,11,1897,339,40,10,상하수도+ 전기+ 화장실+ 취사시설+ 샤워실,소화기+ 확성기+ 안전게시물+ 대피공간+ 관리요원,없음,,,055-392-2562,경상남도 양산시청,2018-02-14,
무릉도원,야영장,35.426169,128.933599,경상남도 양산시 어영길 170,경상남도 양산시 원동면 영포리 702-2,000-0000-0000,21,2409,316,80,10,상하수도+ 화장실+ 샤워실,소화기+ 확성기+ 안전게시물+ 대피공간+ 관리요원,없음,,,055-392-2562,경상남도 양산시청,2018-02-14,
사지목 나무그늘,야영장,35.394858,128.946923,경상남도 양산시 늘밭로 201,경상남도 양산시 원동면 내포리 573-2,000-0000-0000,8,831,244,40,10,상하수도+ 화장실,소화기+ 확성기+ 안전게시물+ 대피공간+ 관리요원,없음,,,055-392-2562,경상남도 양산시청,2018-02-14,
원동자연 휴양림,야영장,35.397484,128.938108,경상남도 양산시 늘밭로 69,경상남도 양산시 원동면 내포리 산178-5,055-386-2678,35,747070,494,140,50,상하수도+ 화장실+ 취사시설,소화기+ 확성기+ 안전게시물+ 대피공간+ 관리요원,"임간수련장, 산막, 임산물판매장",,,055-392-2562,경상남도 양산시청,2018-02-14,
천태산 오토캠핑장,야영장,35.431932,128.927328,경상남도 양산시 어영길 263-14,경상남도 양산시 원동면 영포리 926-1,000-0000-0000,8,1359,326,32,8,상하수도+ 전기+ 화장실+ 취사시설+ 샤워실,소화기+ 확성기+ 안전게시물+ 대피공간+ 관리요원,없음,,,055-392-2562,경상남도 양산시청,2018-02-14,
아름빌,야영장,35.429293,128.933669,경상남도 양산시 어영길 202,경상남도 양산시 원동면 영포리 712,055-383-5566,16,2357,370,64,30,상하수도+ 전기시설+ 화장실+ 샤워실,소화기+ 확성기+ 안전게시물+ 대피공간+ 관리요원,방갈로,,,055-392-2562,경상남도 양산시청,2018-02-14,
캠핑 라운드,야영장,35.402957,129.063446,경상남도 양산시 구소석5길 20,경상남도 양산시 상북면 석계리 900-1,000-0000-0000,9,3310,734,40,10,상하수도+ 전기+ 화장실+ 취사시설+ 샤워실,소화기+ 확성기+ 안전게시물+ 대피공간+ 관리요원,방갈로,,,055-392-2562,경상남도 양산시청,2018-02-14,
작은캠프 엔 하우스,야영장,35.489598,129.085356,경상남도 양산시 신평강변2길 5,경상남도 양산시 하북면 순지리 756-16,000-0000-0000,10,2074,246,70,12,상하수도+ 전기+ 화장실+ 취사시설+ 샤워실,소화기+ 확성기+ 안전게시물+ 대피공간+ 관리요원,"족구장, 주말농장, 그늘막",,,055-392-2562,경상남도 양산시청,2018-02-14,
황산 캠핑장,야영장,35.301444,128.989434,경상남도 양산시 물금리 225-1,경상남도 양산시 물금읍 물금리 225-1,055-386-2550,115,35000,0,400,80,상하수도+ 전기+ 화장실+ 취사시설+ 샤워실,소화기+ 확성기+ 안전게시물+ 대피공간+ 관리요원,없음,,,055-392-2562,경상남도 양산시청,2018-02-14,
포시즌,야영장,35.392053,128.920486,경상남도 양산시 원동면 원동로 1817-34,경상남도 양산시 원동면 원리 49-8,000-0000-0000,5,660,60,20,6,"상하수도, 전기, 화장실, 취사시설, 샤워실",소화기+확성기+안전게시물+대피공간+관리요원,없음,-,-,055-392-2562,양산시 문화관광과,2018-02-14,
에덴밸리나마스떼글램핑장,야영장,35.429582,128.987638,경상남도 양산시 원동면 어실로 1206,경상남도 양산시 원동면 대리 1040-14,000-0000-0000,3,,114,20,0,"상하수도, 화장실, 취사시설, 샤워실",소화기+확성기+안전게시물+대피공간+관리요원,없음,-,-,055-392-2562,양산시 문화관광과,2018-02-14,
소석힐링캠핑장,야영장,35.404333,129.051633,경상남도 양산시 상북면 공원로 69,경상남도 양산시 상북면 소석리 163,055-367-1577,15,1668,164.82,60,20,"상하수도, 전기, 화장실, 취사시설, 샤워실",소화기+확성기+안전게시물+대피공간+관리요원,없음,-,-,055-392-2562,양산시 문화관광과,2018-02-14,
씨앗골캠핑장,야영장,36.6294366,127.6043515,충청북도 청주시 상당구 낭성면 호정대신로 69-34,충청북도 청주시 상당구 문박리 390외 4필지,043-201-2044,14,5698,51.48,50,7,관리실+화장실+샤워실+개수대,전기시설+잔불처리시설+메가폰+CCTV+소화기+구급약품,,365일,30000원,043-201-2044,청주시 관광과,2018-02-01,
