지진해일대피소명,지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,
산마루초등학교,지진대피소,실내대피소,학교,경기도 구리시 갈매순환로133,,37.634826,127.115662,652,198,Y,031-570-2892,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
갈매고등학교,지진대피소,실내대피소,학교,경기도 구리시 갈매순환로 75,,37.634826,127.115662,544,165,Y,031-524-6000,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
갈매사회복지관,지진대피소,실내대피소,기타,경기도 구리시 갈매순환로143 1단지 101동 1층,,37.634826,127.115662,197,60,Y,031-571-1118,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
밀알교회,지진대피소,실내대피소,기타,경기도 구리시 코스모스길215번길 96,,37.580188,127.155386,5000,500,Y,031-556-1005,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
왜관초등학교학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 왜관읍 구상길 204,,35.9850669421,128.396176028,18485,5602,Y,054-979-5256,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
왜관중앙초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 왜관읍 석전로 80,,35.9993439769,128.406426259,6308,1912,Y,054-979-5253,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
왜관동부초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 왜관읍 평장3길 31-4,,35.9856207696,128.407082966,15197,4605,Y,054-979-5245,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
낙산초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 왜관읍 강변대로 754,,35.9451499324,128.402619193,9763,2958,Y,054-979-5223,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
매원초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 왜관읍 매원1길 5-32,,35.9950377616,128.429490705,8032,2434,Y,054-979-5265,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
왜관중학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 왜관읍 평장1길 34,,35.9851730507,128.404378457,16025,4856,Y,054-979-5230,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
석전중학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 왜관읍 석전로7길 14,,36.0030440817,128.409344407,16061,4867,Y,054-979-5261,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
순심중고등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 왜관읍 평장2길 6,,35.98719226,128.402476046,24738,7496,Y,054-979-5262,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
순심여자중고등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 왜관읍 남부1길 22,,35.9866107214,128.396708846,15602,4728,Y,054-979-5252,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
칠곡군청 공용주차장,지진대피소,옥외대피소,기타,경상북도 칠곡군 왜관읍 왜관리 216-102,,35.9946257631,128.400864438,3153,955,Y,054-979-5231,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
칠곡종합운동장 주차장,지진대피소,옥외대피소,기타,경상북도 칠곡군 왜관읍 석전리 10-7,,36.0017139034,128.422784142,14967,4535,Y,054-979-5224,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
왜관금산체육시설,지진대피소,옥외대피소,공원,경상북도 칠곡군 왜관읍 금산리 851-51,,35.9534351415,128.398452015,9684,2935,Y,054-979-5243,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
왜관달오체육시설,지진대피소,옥외대피소,공원,경상북도 칠곡군 왜관읍 왜관리 1282,,35.9730464967,128.394855672,11000,3333,Y,054-979-5251,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
북삼초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 북삼읍 인평중앙로43,,36.0641104594,128.342676134,13683,4146,Y,054-979-5282,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
숭산초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 북삼읍 보손4길 20,,36.0538647562,128.314513997,8166,2475,Y,054-979-5297,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
인평초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 북삼읍 북삼로8길 10,,36.0720158958,128.336820893,4125,1250,Y,054-979-5302,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
북삼중학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 북삼읍 북삼로 29,,36.0699332211,128.342877221,11057,3351,Y,054-979-5300,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
인평중학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 북삼읍 북삼로 223,,36.0625946554,128.335746935,7020,2127,Y,054-979-5292,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
북삼고등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 북삼읍 북삼로2길130,,36.0717690648,128.334063897,17694,5362,Y,054-979-5302,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
석적초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 석적읍 남율로 12길 76,,36.0670807155,128.409842203,5835,1768,Y,054-979-5335,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
장곡초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 석적읍 유학로 86-9,,36.0752704139,128.418686706,5460,1655,Y,054-979-5337,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
대교초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 석적읍 서중리7길 15,,36.0752632504,128.399060965,5275,1598,Y,054-979-5316,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
장곡중학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 석적읍 남중리8길 13,,36.0734536897,128.415030969,6856,2078,Y,054-979-5313,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
석적고등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 석적읍 동중리1길 65-20,,36.0816423397,128.418459269,4050,1227,Y,054-979-5336,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
칠곡호국평화기념관 제2주차장,지진대피소,옥외대피소,기타,경상북도 칠곡군 석적읍 중지리 340,,36.0198613027,128.40365824,8900,2697,Y,054-979-5348,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
석적체육공원,지진대피소,옥외대피소,공원,경상북도 칠곡군 석적읍 남율리 790번지 외,,36.0717465268,128.39120648,30600,9273,Y,054-979-5332,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
석적읍사무소,지진대피소,옥외대피소,기타,경상북도 칠곡군 석적읍 남율로7길 7,,36.0667917983,128.400975387,11090,3361,Y,054-979-5349,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
신동초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 지천면 신동로 161,,35.9569063886,128.490092072,12838,3890,Y,054-979-5374,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
지천초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 지천면 용산로 77,,35.9058141596,128.498548538,8360,2533,Y,054-979-5372,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
신동중·칠곡고등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 지천면 신동로 99,,35.9584752966,128.483910095,10546,3196,Y,054-979-5373,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
동명초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 동명면 금암동석3길 5,,35.9870596849,128.554480958,7111,2155,Y,054-979-5403,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
동명동부초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 동명면 한티로 562,,36.0061844998,128.592994394,5855,1774,Y,054-979-5404,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
동명중고등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 동명면 백송로 797,,35.9851765584,128.549308238,14869,4506,Y,054-979-5382,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
가산초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 가산면 경북대로 1500,,36.0791622995,128.540218243,11632,3525,Y,054-979-5413,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
학림초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 가산면 학하7길 5,,36.1052312314,128.491112116,11879,3600,Y,054-979-5426,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
다부초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 가산면 다부원 1길 52,,36.0450661386,128.520268807,7565,2292,Y,054-979-5430,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
가산면민운동장,지진대피소,옥외대피소,운동장,경상북도 칠곡군 가산면 송학리 268,,36.1031913787,128.518918562,7955,2411,Y,054-979-5432,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
약목초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 약목면 복성3길 30,,36.0325111444,128.361022446,22022,6673,Y,054-979-5461,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
관호초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 약목면 무림3길 16-59,,36.0205964493,128.380700297,6360,1927,Y,054-979-5462,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
약목중학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 약목면 복성8길 20,,36.035004911,128.36075914,10372,3143,Y,054-979-5463,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
약목고등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 약목면 무림1길 6-26,,36.0271585769,128.372068498,6151,1864,Y,054-979-5464,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
덕산체육공원,지진대피소,옥외대피소,공원,경상북도 칠곡군 약목면 덕산리 349 일원,,36.0334841122,128.401099679,117400,35576,Y,054-979-5460,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
약동초등학교,지진대피소,옥외대피소,운동장,경상북도 칠곡군 기산면 주산로 1195,,35.9848954241,128.381412916,7493,2271,Y,054-979-5485,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
죽전체육시설,지진대피소,옥외대피소,공원,경상북도 칠곡군 기산면 죽전리 621-1,,35.9873519274,128.390308529,9392,2846,Y,054-979-5486,,별도 지구지정사항 없음,,,,미적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
왜관초등학교 본관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 왜관읍 구상길 204,,35.9850669421,128.396176028,13699,4151,Y,054-979-5256,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
왜관동부초등학교 본관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 왜관읍 평장3길 31-4,,35.9856207696,128.407082966,2186,662,Y,054-979-5251,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
왜관동부초등학교 별관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 왜관읍 평장3길 31-4,,35.9856207696,128.407082966,1644,498,Y,054-979-5262,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
왜관동부초등학교 다목적강당,지진대피소,실내대피소,체육관,경상북도 칠곡군 왜관읍 평장3길 31-4,,35.9856207696,128.407082966,1515,459,Y,054-979-5252,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
낙산초등학교 교사시설,지진대피소,실내대피소,체육관,경상북도 칠곡군 왜관읍 강변대로 754,,35.9451499324,128.402619193,2049,621,Y,054-979-5223,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
매원초등학교 본관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 왜관읍 매원1길 5-32,,35.9950377616,128.429490705,976,296,Y,054-979-5265,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
석전중등학교 다목적강당,지진대피소,실내대피소,체육관,경상북도 칠곡군 왜관읍 석전로7길 14,,36.0030440817,128.409344407,729,221,Y,054-979-5261,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
인평초등학교 본관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 북삼읍 북삼로8길 10,,36.0720158958,128.336820893,9361,2837,Y,054-979-5302,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
북삼중학교 다목적강당,지진대피소,실내대피소,체육관,경상북도 칠곡군 북삼읍 북삼로 29,,36.0699332211,128.342877221,9316,2823,Y,054-979-5300,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
북삼중학교 본관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 북삼읍 북삼로 29,,36.0699332211,128.342877221,1118,339,Y,054-979-5300,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
인평중학교 본관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 북삼읍 북삼로 223,,36.0625946554,128.335746935,7129,2160,Y,054-979-5292,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
북삼고등학교 다목적강당,지진대피소,실내대피소,체육관,경상북도 칠곡군 북삼읍 북삼로2길130,,36.0717690648,128.334063897,891,270,Y,054-979-5302,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
북삼읍 평생학습복지센터,지진대피소,실내대피소,기타,경상북도 칠곡군 북삼읍 인평1길 12,,36.0630679623,128.342423123,1321,400,Y,054-979-5271,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
석적초등학교 본관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 석적읍 남율로 12길 76,,36.0670807155,128.409842203,10096,3059,Y,054-979-5335,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
장곡초등학교 본관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 석적읍 유학로 86-9,,36.0752704139,128.418686706,9886,2996,Y,054-979-5337,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
대교초등학교 본관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 석적읍 서중리7길 15,,36.0752632504,128.399060965,11264,3413,Y,054-979-5316,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
장곡중학교 본관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 석적읍 남중리8길 13,,36.0734536897,128.415030969,9511,2882,Y,054-979-5313,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
장곡중학교 다목적강당,지진대피소,실내대피소,체육관,경상북도 칠곡군 석적읍 남중리8길 13,,36.0734536897,128.415030969,983,298,Y,054-979-5347,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
석적고등학교 본관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 석적읍 동중리1길 65-20,,36.0816423397,128.418459269,10629,3221,Y,054-979-5336,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
호국평화 기념관,지진대피소,실내대피소,기타,경상북도 칠곡군 석적읍 강변대로 1580,,36.0179176594,128.404031967,9671,2931,Y,054-979-5348,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
석적 행정타운,지진대피소,실내대피소,기타,경상북도 칠곡군 석적읍 남율로7길 7,,36.0667917983,128.400975387,12376,3750,Y,054-979-5349,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
신동초등학교 다목적강당,지진대피소,실내대피소,체육관,경상북도 칠곡군 지천면 신동로 161,,35.9569063886,128.490092072,997,302,Y,054-979-5374,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
신동중.칠곡고등학교 다목적강당,지진대피소,실내대피소,체육관,경상북도 칠곡군 지천면 신동로 99,,35.9584752966,128.483910095,1058,321,Y,054-979-5373,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
동명초등학교 다목적강당,지진대피소,실내대피소,체육관,경상북도 칠곡군 동명면 금암동석3길 5,,35.9870596849,128.554480958,622,188,Y,054-979-5403,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
동명동부초등학교 교사시설,지진대피소,실내대피소,체육관,경상북도 칠곡군 동명면 한티로 562,,36.0061844998,128.592994394,854,259,Y,054-979-5404,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
동명면사무소,지진대피소,실내대피소,기타,경상북도 칠곡군 동명면 금암중앙길 56,,35.9838405404,128.553947696,613,186,Y,054-979-5405,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
동명면 평생학습복지센터,지진대피소,실내대피소,기타,경상북도 칠곡군 동명면 동명팔거천2길 9,,35.9848964217,128.552296401,930,282,Y,054-979-5382,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
학림초등학교 다목적강당,지진대피소,실내대피소,체육관,경상북도 칠곡군 가산면 학하7길 5,,36.1052312314,128.491112116,453,137,Y,054-979-5426,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
가산면 평생학습복지센터,지진대피소,실내대피소,기타,경상북도 칠곡군 가산면 경북대로 1552-1,,36.0843421565,128.539360125,546,165,Y,054-979-5413,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
약목초등학교 본관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 약목면 복성3길 30,,36.0325111444,128.361022446,3259,988,Y,054-979-5461,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
약목초등학교 후관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 약목면 복성3길 30,,36.0325111444,128.361022446,2502,758,Y,054-979-5460,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
약목중학교 본관동,지진대피소,실내대피소,체육관,경상북도 칠곡군 약목면 복성8길 20,,36.035004911,128.36075914,6002,1819,Y,054-979-5463,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
약목면사무소,지진대피소,실내대피소,기타,경상북도 칠곡군 약목면 복성1길 15,,36.0327609378,128.363782632,3174,962,Y,054-979-5444,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
약동초등학교 다목적강당,지진대피소,실내대피소,체육관,경상북도 칠곡군 기산면 주산로 1195,,35.9848954241,128.381412916,1712,519,Y,054-979-5486,,별도 지구지정사항 없음,,,,적용,,,,,,,경상북도 칠곡군청,,2017-11-22,5220000,경상북도 칠곡군,
내수2근린공원,지진대피소,옥외대피소,공원,서울특별시 종로구 경희궁4길,서울특별시 종로구 내수동 73-3,37.572387,126.971583,2192,664,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
대동세무고등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 계동길 84-10,,37.5819196,126.9879303,2000,1000,Y,02-763-1630,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
대신고등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 사직로 9,,37.572915,126.961601,4663,1413,Y,02-736-0317,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
덕성여자고등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 율곡로3길 50,,37.577918,126.982867,4180,1260,Y,02-734-6871,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
덕성여자중학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 율곡로3길 49,,37.5779448,126.981778,6701,2030,Y,02-733-4807,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
