주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,
138-2-000015,좌동문화원부지 공영,공영,노외,부산광역시 해운대구 좌1동 1458-4번지,부산광역시 해운대구 좌1동 1458-4번지,49,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,500,10,500,300,15000,,현금+카드,,부산광역시 해운대구,051-749-4555,35.1701808694,129.174930238,2018-08-10,3330000,부산광역시 해운대구,
138-2-000016,문탠로드관광 공영,공영,노외,부산광역시 해운대구 중1동 974-1번지,부산광역시 해운대구 중1동 974-1번지,76,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10,300,270,8000,,현금+카드,,부산광역시 해운대구,051-749-4555,35.16066982,129.171841455,2018-08-10,3330000,부산광역시 해운대구,
138-2-000017,재송2동 공영,공영,노외,부산광역시 해운대구 재송2동 1042-3번지,부산광역시 해운대구 재송2동 1042-3번지,114,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,100,10,100,240,2400,,현금+카드,,부산광역시 해운대구,051-749-4555,35.1924016792,129.126716733,2018-08-10,3330000,부산광역시 해운대구,
138-2-000018,반송2동 공영,공영,노외,부산광역시 해운대구 윗반송로 26,부산광역시 해운대구 반송동 303번지,291,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,100,10,100,240,2400,,현금+카드,,부산광역시 해운대구,051-749-4555,35.2296467462,129.151845807,2018-08-10,3330000,부산광역시 해운대구,
138-2-000019,해월정 달맞이길 공영,공영,노외,부산광역시 해운대구 달맞이길 190 (중동),부산광역시 해운대구 중2동 산42-20번지,56,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10,300,240,8000,,현금+카드,,부산광역시 해운대구,051-749-4555,35.1576803088,129.182541565,2018-08-10,3330000,부산광역시 해운대구,
138-2-000020,동백 공영,공영,노외,부산광역시 해운대구 우1동 1151-3번지,부산광역시 해운대구 우1동 1151-3번지,70,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,500,10,500,300,15000,,현금+카드,가변급지(1~2),부산광역시 해운대구,051-749-4555,35.1579314331,129.153413341,2018-08-10,3330000,부산광역시 해운대구,
138-2-000021,청사포 공영,공영,노외,부산광역시 해운대구 중동 553번지,부산광역시 해운대구 중동 553번지,56,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10,300,240,8000,,현금+카드,,부산광역시 해운대구,051-749-4555,35.1619503094,129.191798615,2018-08-10,3330000,부산광역시 해운대구,
138-1-000022,재반로 노상공영 A,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),부산광역시 해운대구 재반로 일원(반여동1291-1199),24,4,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,10,100,10,100,240,2400,,현금+카드,,부산광역시 해운대구,051-749-4555,,,2018-08-10,3330000,부산광역시 해운대구,
138-1-000023,재반로 노상공영 B,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),부산광역시 해운대구 재반로 일원(반여동1291-1199),17,4,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,10,100,10,100,240,2400,,현금+카드,,부산광역시 해운대구,051-749-4555,,,2018-08-10,3330000,부산광역시 해운대구,
138-1-000024,재반로 노상공영 C,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),부산광역시 해운대구 재반로 일원(반여동1291-1199),20,4,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,10,100,10,100,240,2400,,현금+카드,,부산광역시 해운대구,051-749-4555,,,2018-08-10,3330000,부산광역시 해운대구,
138-1-000025,재반로 노상공영 D,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),부산광역시 해운대구 재반로 일원(반여동1291-1199),19,4,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,10,100,10,100,240,2400,,현금+카드,,부산광역시 해운대구,051-749-4555,,,2018-08-10,3330000,부산광역시 해운대구,
138-4-000016,왕자주차장,민영,노외,부산광역시 해운대구 반여1동1405-37,부산광역시 해운대구 반여1동1405-37,10,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1960328163,129.117800647,2018-08-10,3330000,부산광역시 해운대구,
138-4-000017,양지주차장,민영,노외,부산광역시 해운대구 반송1동250-2343,부산광역시 해운대구 반송1동250-2343,6,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,40000,현금,월주차만,부산광역시 해운대구,051-749-4554,35.2196758406,129.152698161,2018-08-10,3330000,부산광역시 해운대구,
138-4-000018,장원주차장,민영,노외,"부산광역시 해운대구 반여1동1244-4,5","부산광역시 해운대구 반여1동1244-4,5",12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,55000,현금,월주차만,부산광역시 해운대구,051-749-4554,35.2052588201,129.124891326,2018-08-10,3330000,부산광역시 해운대구,
138-4-000019,송림주차장,민영,노외,"부산광역시 해운대구 우1동703-1,19","부산광역시 해운대구 우1동703-1,19",8,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,4000,30,2000,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1582588477,129.156485596,2018-08-10,3330000,부산광역시 해운대구,
138-4-000020,미포주차장,민영,노외,부산광역시 해운대구 중1동1035-2,부산광역시 해운대구 중1동1035-2,9,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1594062592,129.170543766,2018-08-10,3330000,부산광역시 해운대구,
138-4-000021,반여주차장,민영,노외,부산광역시 해운대구 반여1동1010-9,부산광역시 해운대구 반여1동1010-9,12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1000,10,100,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.205772574,129.124988158,2018-08-10,3330000,부산광역시 해운대구,
138-4-000022,예스렌트카주차장,민영,노외,부산광역시 해운대구 중1동836,부산광역시 해운대구 중1동836,6,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1000,10,100,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1631781734,129.172869442,2018-08-10,3330000,부산광역시 해운대구,
138-4-000023,진영주차장,민영,노외,"부산광역시 해운대구 반송1동250-2296,2297","부산광역시 해운대구 반송1동250-2296,2297",7,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.2199192039,129.152998886,2018-08-10,3330000,부산광역시 해운대구,
138-4-000024,삼성주차장,민영,노외,"부산광역시 해운대구 중1동1382-1,6,8,10","부산광역시 해운대구 중1동1382-1,6,8,10",78,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,1500,10,500,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1618994332,129.161743586,2018-08-10,3330000,부산광역시 해운대구,
138-4-000025,성진주차장,민영,노외,부산광역시 해운대구 재송1동1118-4,부산광역시 해운대구 재송1동1118-4,16,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1853362949,129.126124232,2018-08-10,3330000,부산광역시 해운대구,
138-4-000026,태영주차장,민영,노외,부산광역시 해운대구 우1동544-1,부산광역시 해운대구 우1동544-1,12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,3000,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.161562627,129.15981215,2018-08-10,3330000,부산광역시 해운대구,
138-4-000027,일승주차장,민영,노외,부산광역시 해운대구 좌1동420-1,부산광역시 해운대구 좌1동420-1,14,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1736712868,129.177068953,2018-08-10,3330000,부산광역시 해운대구,
138-4-000028,제일주차장,민영,노외,부산광역시 해운대구 반송1동744-87외1,부산광역시 해운대구 반송1동744-87외1,13,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,500,30,1000,0,5000,,현금,,부산광역시 해운대구,051-749-4554,35.2244679544,129.146516826,2018-08-10,3330000,부산광역시 해운대구,
138-4-000029,해운대역주차장,민영,노외,부산광역시 해운대구 우1동552-21 (구562-4),부산광역시 해운대구 우1동552-21 (구562-4),20,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1651638576,129.160605333,2018-08-10,3330000,부산광역시 해운대구,
138-4-000030,고려주차장,민영,노외,부산광역시 해운대구 중1동1378-77,부산광역시 해운대구 중1동1378-77,12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,3000,30,1500,,12000,,현금,,부산광역시 해운대구,051-749-4554,35.1636621593,129.163554799,2018-08-10,3330000,부산광역시 해운대구,
138-4-000031,제일주차장,민영,노외,부산광역시 해운대구 우1동175-3,부산광역시 해운대구 우1동175-3,24,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,500,30,1000,0,5000,,현금,,부산광역시 해운대구,051-749-4554,35.1668221159,129.16079846,2018-08-10,3330000,부산광역시 해운대구,
138-4-000032,신도시주차장,민영,노외,부산광역시 해운대구 좌1동912,부산광역시 해운대구 좌1동912,45,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1744548783,129.173981735,2018-08-10,3330000,부산광역시 해운대구,
138-4-000033,보성주차장,민영,노외,부산광역시 해운대구 반여1동955,부산광역시 해운대구 반여1동955,27,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.2071125698,129.125655503,2018-08-10,3330000,부산광역시 해운대구,
138-4-000034,24시주차장,민영,노외,부산광역시 해운대구 우1동647-8,부산광역시 해운대구 우1동647-8,32,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,1500,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1599891276,129.155670992,2018-08-10,3330000,부산광역시 해운대구,
138-4-000035,해우주차장,민영,노외,부산광역시 해운대구 중1동1396-59,부산광역시 해운대구 중1동1396-59,24,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,2000,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1608658784,129.162699425,2018-08-10,3330000,부산광역시 해운대구,
138-4-000036,우동주차장,민영,노외,"부산광역시 해운대구 우1동437-3,439-1,440-3","부산광역시 해운대구 우1동437-3,439-1,440-3",29,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,6500,50000,현금,,부산광역시 해운대구,051-749-4554,35.1674009831,129.159264239,2018-08-10,3330000,부산광역시 해운대구,
138-4-000037,대성주차장,민영,노외,부산광역시 해운대구 반송1동259-111,부산광역시 해운대구 반송1동259-111,12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,60000,현금,월주차만,부산광역시 해운대구,051-749-4554,35.2241606069,129.152860575,2018-08-10,3330000,부산광역시 해운대구,
138-4-000038,해운대구청주차장,민영,노외,부산광역시 해운대구 중1동1378-95,부산광역시 해운대구 중1동1378-95,99,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,00:00,유료,10,300,0,0,0,0,,현금+신용카드,,부산광역시 해운대구,051-749-4554,35.1629742454,129.163725317,2018-08-10,3330000,부산광역시 해운대구,
138-4-000039,반여동주차장,민영,노외,부산광역시 해운대구 반여1동740-6,부산광역시 해운대구 반여1동740-6,14,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.2115508282,129.125801978,2018-08-10,3330000,부산광역시 해운대구,
138-4-000040,신라주차장,민영,노외,"부산광역시 해운대구 재송2동210-27,42","부산광역시 해운대구 재송2동210-27,42",31,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,1000,0,0,0,0,70000,현금,,부산광역시 해운대구,051-749-4554,35.1879987786,129.121267164,2018-08-10,3330000,부산광역시 해운대구,
138-4-000041,신촌주차장,민영,노외,부산광역시 해운대구 반여1동1248,부산광역시 해운대구 반여1동1248,13,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,50000,현금,월주차만,부산광역시 해운대구,051-749-4554,35.2052145234,129.125566493,2018-08-10,3330000,부산광역시 해운대구,
138-4-000042,반송주차장,민영,노외,부산광역시 해운대구 반송1동744-206,부산광역시 해운대구 반송1동744-206,7,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,50000,현금,월주차만,부산광역시 해운대구,051-749-4554,35.2239575558,129.146841617,2018-08-10,3330000,부산광역시 해운대구,
138-4-000043,영광주차장,민영,노외,"부산광역시 해운대구 우1동612-6,7","부산광역시 해운대구 우1동612-6,7",29,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,10,500,0,0,100000,현금,,부산광역시 해운대구,051-749-4554,35.1631075644,129.160902077,2018-08-10,3330000,부산광역시 해운대구,
138-4-000044,해천주차장,민영,노외,부산광역시 해운대구 반송1동250-2292,부산광역시 해운대구 반송1동250-2292,14,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.2202192462,129.152747656,2018-08-10,3330000,부산광역시 해운대구,
138-4-000045,기장주차장,민영,노외,부산광역시 해운대구 우1동542-25,부산광역시 해운대구 우1동542-25,16,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,60,3000,0,0,0,25000,,현금,,부산광역시 해운대구,051-749-4554,35.1616981203,129.159490923,2018-08-10,3330000,부산광역시 해운대구,
138-4-000046,대영주차장,민영,노외,부산광역시 해운대구 재송1동1071-26,부산광역시 해운대구 재송1동1071-26,7,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.186232786,129.121458346,2018-08-10,3330000,부산광역시 해운대구,
138-4-000047,부일주차장,민영,노외,부산광역시 해운대구 우1동151-4외1,부산광역시 해운대구 우1동151-4외1,9,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,2000,30,1000,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1669201682,129.159949471,2018-08-10,3330000,부산광역시 해운대구,
138-4-000048,성심주차장,민영,노외,부산광역시 해운대구 반송1동261-131,부산광역시 해운대구 반송1동261-131,12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.2267175168,129.147920306,2018-08-10,3330000,부산광역시 해운대구,
138-4-000049,송민주차장,민영,노외,"부산광역시 해운대구 반송1동250-1004,1005","부산광역시 해운대구 반송1동250-1004,1005",6,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.2223173259,129.149693126,2018-08-10,3330000,부산광역시 해운대구,
138-4-000050,유진주차장,민영,노외,"부산광역시 해운대구 반송2동331-8,13","부산광역시 해운대구 반송2동331-8,13",30,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.2314289768,129.153579836,2018-08-10,3330000,부산광역시 해운대구,
138-4-000051,주차장,민영,노외,부산광역시 해운대구 중동 276-1,부산광역시 해운대구 중동 276-1,20,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.168574149,129.171867335,2018-08-10,3330000,부산광역시 해운대구,
138-4-000052,누리주차장,민영,노외,부산광역시 해운대구 우동 641-14,부산광역시 해운대구 우동 641-14,12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,0,0,0,15000,70000,현금,,부산광역시 해운대구,051-749-4554,35.1616355161,129.156328956,2018-08-10,3330000,부산광역시 해운대구,
138-4-000053,한라주차장,민영,노외,부산광역시 해운대구 좌동 1521-3,부산광역시 해운대구 좌동 1521-3,363,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,1000,60,1000,0,7000,30000,현금,,부산광역시 해운대구,051-749-4554,,,2018-08-10,3330000,부산광역시 해운대구,
138-4-000054,신도시주차장,민영,노외,부산광역시 해운대구 좌동 1360,부산광역시 해운대구 좌동 1360,43,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1682095882,129.163842105,2018-08-10,3330000,부산광역시 해운대구,
138-4-000055,대천주차장,민영,노외,부산광역시 해운대구 좌동 1482-4,부산광역시 해운대구 좌동 1482-4,20,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1677607895,129.178017526,2018-08-10,3330000,부산광역시 해운대구,
138-4-000056,5994주차장,민영,노외,부산광역시 해운대구 반여동 1607-18,부산광역시 해운대구 반여동 1607-18,3,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,50000,현금,월주차만,부산광역시 해운대구,051-749-4554,35.1993063089,129.131938082,2018-08-10,3330000,부산광역시 해운대구,
138-4-000057,청도주차장,민영,노외,부산광역시 해운대구 반송1동250-1687,부산광역시 해운대구 반송1동250-1687,15,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,40000,현금,월주차만,부산광역시 해운대구,051-749-4554,35.2218283824,129.152662784,2018-08-10,3330000,부산광역시 해운대구,
138-4-000058,K.T주차장,민영,노외,부산광역시 해운대구 중1동1364-12외2,부산광역시 해운대구 중1동1364-12외2,27,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,2000,0,0,0,10000,,현금,,부산광역시 해운대구,051-749-4554,35.1649767249,129.164019801,2018-08-10,3330000,부산광역시 해운대구,
138-4-000059,극동주차장,민영,노외,부산광역시 해운대구 중1동944-14,부산광역시 해운대구 중1동944-14,11,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1606072349,129.170909268,2018-08-10,3330000,부산광역시 해운대구,
138-4-000060,리베라세이브존주차장,민영,노외,부산광역시 해운대구 중1동1394-174,부산광역시 해운대구 중1동1394-174,45,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,10,500,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.162797721,129.161903436,2018-08-10,3330000,부산광역시 해운대구,
138-4-000061,대신주차장,민영,노외,부산광역시 해운대구 반여3동1603-19,부산광역시 해운대구 반여3동1603-19,7,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1000,0,0,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.2003799131,129.131355739,2018-08-10,3330000,부산광역시 해운대구,
138-4-000062,흥안인더스트리,민영,노외,부산광역시 해운대구 우1동626-4,부산광역시 해운대구 우1동626-4,10,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,4000,30,2000,0,0,,현금,,부산광역시 해운대구,051-749-4554,35.1602535423,129.160453473,2018-08-10,3330000,부산광역시 해운대구,
138-4-000063,GS타임즈 해운대 제3,민영,노외,부산광역시 해운대구 우동 1305,부산광역시 해운대구 우동 1305,6,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,0,0,0,0,,카드,카드전용,부산광역시 해운대구,051-749-4554,35.1617366664,129.16015912,2018-08-10,3330000,부산광역시 해운대구,
