연번,구분,좌석종류,출발지,도착지,출발시간,요금(원),연락처
32,고속버스,우등,세종,서부산(사상),12:30,24800,"070-4904-3263, 070-7752-4780"
33,고속버스,일반,세종,서부산(사상),16:00,16800,"070-4904-3263, 070-7752-4780"
34,고속버스,우등,세종,서부산(사상),18:40,24800,"070-4904-3263, 070-7752-4780"
35,고속버스,우등,세종,창원,8:00,22100,"070-4904-3263, 070-7752-4780"
36,고속버스,일반,세종,창원,11:00,15000,"070-4904-3263, 070-7752-4780"
37,고속버스,우등,세종,창원,13:30,22100,"070-4904-3263, 070-7752-4780"
38,고속버스,우등,세종,창원,18:00,22100,"070-4904-3263, 070-7752-4780"
39,시외버스,일반,유성,동서울,07:20 (유성출),10000,"070-4904-3263, 070-7752-4780"
40,시외버스,일반,유성,동서울,10:20(유성출),10000,"070-4904-3263, 070-7752-4780"
41,시외버스,일반,유성,동서울,11:50(공주출),10000,"070-4904-3263, 070-7752-4780"
42,시외버스,일반,유성,동서울,15:10(유성출),10000,"070-4904-3263, 070-7752-4780"
43,시외버스,일반,유성,동서울,18:35(유성출),10000,"070-4904-3263, 070-7752-4780"
44,시외버스,일반,공주,서울 남부,6:40,8300,"070-4904-3263, 070-7752-4780"
45,시외버스,일반,계룡,서울 남부,8:00,8300,"070-4904-3263, 070-7752-4780"
46,시외버스,일반,부여(천안경유),서울 남부,9:10,8300,"070-4904-3263, 070-7752-4780"
47,시외버스,일반,목포,서울 남부,9:50,8300,"070-4904-3263, 070-7752-4780"
48,시외버스,일반,유성,서울 남부,11:10,8300,"070-4904-3263, 070-7752-4780"
49,시외버스,일반,계룡,서울 남부,15:40,8300,"070-4904-3263, 070-7752-4780"
50,시외버스,일반,유성,서울 남부,16:50,8300,"070-4904-3263, 070-7752-4780"
51,시외버스,일반,유성,서울 남부,18:05,8300,"070-4904-3263, 070-7752-4780"
52,시외버스,일반,목포,서울 남부,19:00,8300,"070-4904-3263, 070-7752-4780"
53,시외버스,일반,공주,서울 남부,20:20,8300,"070-4904-3263, 070-7752-4780"
54,시외버스,일반,세종,인천국제공항,6:30,21200,"070-4904-3263, 070-7752-4780"
55,시외버스,일반,세종,인천국제공항,8:10,21200,"070-4904-3263, 070-7752-4780"
56,시외버스,일반,세종,인천국제공항,13:50,21200,"070-4904-3263, 070-7752-4780"
57,시외버스,일반,유성,인천,7:35,10900,"070-4904-3263, 070-7752-4780"
58,시외버스,일반,유성,인천,14:00,10900,"070-4904-3263, 070-7752-4780"
59,시외버스,일반,부여,인천,15:55,10900,"070-4904-3263, 070-7752-4780"
60,시외버스,일반,부여,인천,17:35,10900,"070-4904-3263, 070-7752-4780"
61,시외버스,일반,유성,"성남(분당, 야탑)",11:50,9400,"070-4904-3263, 070-7752-4780"
62,시외버스,일반,유성출,"성남(분당, 야탑)",15:50,9400,"070-4904-3263, 070-7752-4780"
63,시외버스,일반,유성출,부천(소풍),8:20,11400,"070-4904-3263, 070-7752-4780"
64,시외버스,일반,유성출,부천(소풍),12:30,11400,"070-4904-3263, 070-7752-4780"
65,시외버스,일반,부여,"오산, 수원",7:50,"7100(오산), 8700(수원)","070-4904-3263, 070-7752-4780"
66,시외버스,일반,부여,"오산, 수원",9:40,"7100(오산), 8700(수원)","070-4904-3263, 070-7752-4780"
67,시외버스,일반,전주,"오산, 수원",17:00,"7100(오산), 8700(수원)","070-4904-3263, 070-7752-4780"
68,시외버스,일반,부여,"오산, 수원",18:40,"7100(오산), 8700(수원)","070-4904-3263, 070-7752-4780"
69,시외버스,일반,서대전,"조치원,천안",7:50,"1900(조치원), 4700(천안)","070-4904-3263, 070-7752-4780"
70,시외버스,일반,부여,천안,9:10,"1900(조치원), 4700(천안)","070-4904-3263, 070-7752-4780"
71,시외버스,일반,서대전,"조치원,천안",11:00,"1900(조치원), 4700(천안)","070-4904-3263, 070-7752-4780"
72,시외버스,일반,부여,천안,11:54,"1900(조치원), 4700(천안)","070-4904-3263, 070-7752-4780"
73,시외버스,일반,서대전,"조치원,천안",13:00,"1900(조치원), 4700(천안)","070-4904-3263, 070-7752-4780"
74,시외버스,일반,서대전,"조치원,천안",15:00,"1900(조치원), 4700(천안)","070-4904-3263, 070-7752-4780"
75,시외버스,일반,서대전,"조치원,천안",18:40,"1900(조치원), 4700(천안)","070-4904-3263, 070-7752-4780"
76,시외버스,일반,군산,천안,20:05,"1900(조치원), 4700(천안)","070-4904-3263, 070-7752-4780"
77,시외버스,일반,유성,"조치원,천안",21:05,"1900(조치원), 4700(천안)","070-4904-3263, 070-7752-4780"
78,시외버스,일반,동대전,안양,8:00,10000,"070-4904-3263, 070-7752-4780"
79,시외버스,일반,동대전,안양,13:00,10000,"070-4904-3263, 070-7752-4780"
80,시외버스,일반,동대전,안양,19:15,10000,"070-4904-3263, 070-7752-4780"
81,시외버스,일반,동대전,"고양(일산 ,백석)",7:55,12500,"070-4904-3263, 070-7752-4780"
82,시외버스,일반,동대전,"고양(일산 ,백석)",12:45,12500,"070-4904-3263, 070-7752-4780"
83,시외버스,일반,동대전,"고양(일산 ,백석)",15:05,12500,"070-4904-3263, 070-7752-4780"
84,시외버스,일반,세종,"조치원 ,청주",6:40,_,"070-4904-3263, 070-7752-4780"
85,시외버스,일반,세종,조치원 ,6:55,_,"070-4904-3263, 070-7752-4780"
86,시외버스,일반,세종,"조치원,청주",7:10,_,"070-4904-3263, 070-7752-4780"
87,시외버스,일반,세종,"조치원,청주",7:30,_,"070-4904-3263, 070-7752-4780"
88,시외버스,일반,세종,"조치원,청주",8:00,_,"070-4904-3263, 070-7752-4780"
89,시외버스,일반,세종,"조치원,청주",8:45,_,"070-4904-3263, 070-7752-4780"
90,시외버스,일반,세종,"조치원,청주",9:25,_,"070-4904-3263, 070-7752-4780"
91,시외버스,일반,세종,"조치원,청주",10:20,_,"070-4904-3263, 070-7752-4780"
92,시외버스,일반,세종,"조치원,청주",10:45,_,"070-4904-3263, 070-7752-4780"
93,시외버스,일반,세종,"조치원,청주",11:35,_,"070-4904-3263, 070-7752-4780"
94,시외버스,일반,세종,"조치원,청주",12:05,_,"070-4904-3263, 070-7752-4780"
95,시외버스,일반,세종,"조치원,청주",12:35,_,"070-4904-3263, 070-7752-4780"
96,시외버스,일반,세종,"조치원,청주",12:55,_,"070-4904-3263, 070-7752-4780"
97,시외버스,일반,세종,"조치원,청주",13:55,_,"070-4904-3263, 070-7752-4780"
98,시외버스,일반,세종,"조치원,청주",14:50,_,"070-4904-3263, 070-7752-4780"
99,시외버스,일반,세종,"조치원,청주",15:15,_,"070-4904-3263, 070-7752-4780"
100,시외버스,일반,세종,"조치원,청주",16:05,_,"070-4904-3263, 070-7752-4780"
101,시외버스,일반,세종,"조치원,청주",16:50,_,"070-4904-3263, 070-7752-4780"
102,시외버스,일반,세종,"조치원,청주",17:25,_,"070-4904-3263, 070-7752-4780"
103,시외버스,일반,세종,"조치원,청주",17:55,_,"070-4904-3263, 070-7752-4780"
104,시외버스,일반,세종,"조치원,청주",18:55,_,"070-4904-3263, 070-7752-4780"
105,시외버스,일반,세종,"조치원,청주",20:05,_,"070-4904-3263, 070-7752-4780"
106,시외버스,일반,세종,"조치원,청주",21:05,_,"070-4904-3263, 070-7752-4780"
107,시외버스,일반,서울 남부,계룡시,12:35,3600,"070-4904-3263, 070-7752-4780"
108,시외버스,일반,서울 남부,계룡시,20:15,3600,"070-4904-3263, 070-7752-4780"
109,시외버스,일반,평택,"구미,동대구",8:10,"8800(구미), 동대구(13000)","070-4904-3263, 070-7752-4780"
110,시외버스,일반,평택,"구미,동대구",13:50,"8800(구미), 동대구(13000)","070-4904-3263, 070-7752-4780"
111,시외버스,일반,평택,"구미,동대구",18:20,"8800(구미), 동대구(13000)","070-4904-3263, 070-7752-4780"
112,시외버스,일반,세종,진주,12:45,14800,"070-4904-3263, 070-7752-4780"
113,시외버스,일반,세종,진주,17:15,14800,"070-4904-3263, 070-7752-4780"
114,시외버스,일반,세종,"공주,예산, 내포시,홍성 ,서산,태안",9:53,"4400(유구), 6000(예산), 8100(원홍성서산), 9200(태안)","070-4904-3263, 070-7752-4780"
115,시외버스,일반,세종,"공주,예산, 내포시,홍성 ,서산",11:41,"4400(유구), 6000(예산), 8100(원홍성서산), 9200(태안)","070-4904-3263, 070-7752-4780"
116,시외버스,일반,세종,"공주,예산, 내포시,홍성 ,서산",12:05,"4400(유구), 6000(예산), 8100(원홍성서산), 9200(태안)","070-4904-3263, 070-7752-4780"
117,시외버스,일반,세종,"공주,예산, 내포시,홍성 ,서산",15:49,"4400(유구), 6000(예산), 8100(원홍성서산), 9200(태안)","070-4904-3263, 070-7752-4780"
118,시외버스,일반,세종,"공주,예산, 내포시,홍성 ,서산",18:25,"4400(유구), 6000(예산), 8100(원홍성서산), 9200(태안)","070-4904-3263, 070-7752-4780"
119,시외버스,일반,남서울,"광주, 목포",9:20,"12700(광주), 18200(목포)","070-4904-3263, 070-7752-4780"
120,시외버스,일반,남서울,"광주, 목포",14:05,"12700(광주), 18200(목포)","070-4904-3263, 070-7752-4780"
121,시외버스,일반,천안,"서천, 장항, 군산",8:10,"6600(서천), 7600(장항), 8900(군산)","070-4904-3263, 070-7752-4780"
122,시외버스,일반,수원,전주,13:20,7600,"070-4904-3263, 070-7752-4780"
123,시외버스,일반,천안,"경주, 포항",9:10,"15400(경주), 18700(포항)","070-4904-3263, 070-7752-4780"
124,시외버스,일반,천안,"경주, 포항",11:10,"15400(경주), 18700(포항)","070-4904-3263, 070-7752-4780"
125,시외버스,일반,천안,"경주, 포항",15:20,"15400(경주), 18700(포항)","070-4904-3263, 070-7752-4780"
126,시외버스,일반,천안,"경주, 포항",19:10,"15400(경주), 18700(포항)","070-4904-3263, 070-7752-4780"
127,시외버스,일반,동대전,춘천,8:35,15600,"070-4904-3263, 070-7752-4780"
128,시외버스,일반,동대전,춘천,10:35,15600,"070-4904-3263, 070-7752-4780"
129,시외버스,일반,동대전,춘천,16:35,15600,"070-4904-3263, 070-7752-4780"
130,시외버스,일반,동대전,춘천,18:35,15600,"070-4904-3263, 070-7752-4780"
131,시외버스,일반,세종,원주,18:30,11500,"070-4904-3263, 070-7752-4780"
132,시외버스,일반,세종,"공주,부여",7:45,1800,"070-4904-3263, 070-7752-4780"
133,시외버스,일반,세종,"공주,산성동",7:55,1800,"070-4904-3263, 070-7752-4780"
134,시외버스,일반,세종,"공주,산성동,부여",8:15,1800,"070-4904-3263, 070-7752-4780"
135,시외버스,일반,세종,"공주,산성동,부여",8:25,1800,"070-4904-3263, 070-7752-4780"
136,시외버스,일반,세종,"공주,부여",8:35,1800,"070-4904-3263, 070-7752-4780"
137,시외버스,일반,세종,"공주,논산,강경",9:40,1800,"070-4904-3263, 070-7752-4780"
138,시외버스,일반,세종,공주,9:45,1800,"070-4904-3263, 070-7752-4780"
139,시외버스,일반,세종,공주,10:50,1800,"070-4904-3263, 070-7752-4780"
140,시외버스,일반,세종,"공주,산성동,부여",11:25,1800,"070-4904-3263, 070-7752-4780"
141,시외버스,일반,세종,"공주,부여",12:10,1800,"070-4904-3263, 070-7752-4780"
142,시외버스,일반,세종,"공주,산성동,부여",12:25,1800,"070-4904-3263, 070-7752-4780"
143,시외버스,일반,세종,공주,13:05,1800,"070-4904-3263, 070-7752-4780"
144,시외버스,일반,세종,"공주,부여",13:30,1800,"070-4904-3263, 070-7752-4780"
145,시외버스,일반,세종,"공주,부여",13:50,1800,"070-4904-3263, 070-7752-4780"
146,시외버스,일반,세종,"공주,산성동,부여",14:20,1800,"070-4904-3263, 070-7752-4780"
147,시외버스,일반,세종,"공주,산성동,부여",15:05,1800,"070-4904-3263, 070-7752-4780"
148,시외버스,일반,세종,"공주,부여",16:02,1800,"070-4904-3263, 070-7752-4780"
149,시외버스,일반,세종,"공주,논산",16:25,1800,"070-4904-3263, 070-7752-4780"
150,시외버스,일반,세종,"공주,산성동,부여",16:50,1800,"070-4904-3263, 070-7752-4780"
151,시외버스,일반,세종,"공주,부여",17:20,1800,"070-4904-3263, 070-7752-4780"
152,시외버스,일반,세종,"공주,산성동,부여",18:30,1800,"070-4904-3263, 070-7752-4780"
153,시외버스,일반,세종,"공주,산성동,부여",18:40,1800,"070-4904-3263, 070-7752-4780"
154,시외버스,일반,세종,"공주,산성동,부여",19:10,1800,"070-4904-3263, 070-7752-4780"
155,시외버스,일반,세종,공주,19:40,1800,"070-4904-3263, 070-7752-4780"
156,시외버스,일반,세종,"공주,부여",20:05,1800,"070-4904-3263, 070-7752-4780"
157,시외버스,일반,세종,"공주,산성동,부여",20:50,1800,"070-4904-3263, 070-7752-4780"
158,시외버스,일반,세종,공주,20:55,1800,"070-4904-3263, 070-7752-4780"
159,시외버스,일반,세종,공주,21:15,1800,"070-4904-3263, 070-7752-4780"
160,시외버스,일반,세종,"공주, 산성동",21:20,1800,"070-4904-3263, 070-7752-4780"
161,시외버스,일반,세종,공주,21:30,1800,"070-4904-3263, 070-7752-4780"
162,시외버스,일반,세종,공주,21:45,1800,"070-4904-3263, 070-7752-4780"
163,시외버스,일반,세종,공주,22:00,1800,"070-4904-3263, 070-7752-4780"
164,시외버스,일반,세종,"공주,산성동",22:40,1800,"070-4904-3263, 070-7752-4780"
165,시외버스,일반,세종,"유성,서대전",7:00,2000(유성),"070-4904-3263, 070-7752-4780"
166,시외버스,일반,세종,"유성,서대전",8:25,2000(유성),"070-4904-3263, 070-7752-4780"
167,시외버스,일반,세종," 대전청사,유성",8:25,2000(유성),"070-4904-3263, 070-7752-4780"
168,시외버스,일반,세종," 대전청사,유성",8:30,2000(유성),"070-4904-3263, 070-7752-4780"
169,시외버스,일반,세종,"유성,서대전",9:55,2000(유성),"070-4904-3263, 070-7752-4780"
170,시외버스,일반,세종,"유성,서대전",10:31,2000(유성),"070-4904-3263, 070-7752-4780"
171,시외버스,일반,세종,"대전청사,유성",11:35,2000(유성),"070-4904-3263, 070-7752-4780"
172,시외버스,일반,세종,"유성,서대전",11:45,2000(유성),"070-4904-3263, 070-7752-4780"
173,시외버스,일반,세종,"대전청사,유성",13:00,2000(유성),"070-4904-3263, 070-7752-4780"
174,시외버스,일반,세종,"유성,대전청사",13:40,2000(유성),"070-4904-3263, 070-7752-4780"
175,시외버스,일반,세종,"대전청사,유성",14:05,2000(유성),"070-4904-3263, 070-7752-4780"
176,시외버스,일반,세종,"대전청사,유성",14:15,2000(유성),"070-4904-3263, 070-7752-4780"
177,시외버스,일반,세종,"유성,서대전",14:35,2000(유성),"070-4904-3263, 070-7752-4780"
178,시외버스,일반,세종,"유성,서대전",15:05,2000(유성),"070-4904-3263, 070-7752-4780"
179,시외버스,일반,세종,"대전청사,유성",15:40,2000(유성),"070-4904-3263, 070-7752-4780"
180,시외버스,일반,세종,"대전청사,유성",15:45,2000(유성),"070-4904-3263, 070-7752-4780"
181,시외버스,일반,세종,"대전청사,유성",17:00,2000(유성),"070-4904-3263, 070-7752-4780"
182,시외버스,일반,세종,"유성,대전청사",17:30,2000(유성),"070-4904-3263, 070-7752-4780"
183,시외버스,일반,세종,유성,18:15,2000(유성),"070-4904-3263, 070-7752-4780"
184,시외버스,일반,세종,"유성,서대전",18:47,2000(유성),"070-4904-3263, 070-7752-4780"
185,시외버스,일반,세종,"유성,서대전",18:51,2000(유성),"070-4904-3263, 070-7752-4780"
186,시외버스,일반,세종,"대전청사,유성",20:05,2000(유성),"070-4904-3263, 070-7752-4780"
187,시외버스,일반,세종,"유성,서대전",20:35,2000(유성),"070-4904-3263, 070-7752-4780"
188,시외버스,일반,세종,"대전청사,유성",21:00,2000(유성),"070-4904-3263, 070-7752-4780"
189,시외버스,일반,세종,"유성,서대전",21:45,2000(유성),"070-4904-3263, 070-7752-4780"
190,시외버스,일반,세종,안양출,8:50,2700,"070-4904-3263, 070-7752-4780"
191,시외버스,일반,세종,고양출,9:55,2700,"070-4904-3263, 070-7752-4780"
192,시외버스,일반,세종,고양출,14:30,2700,"070-4904-3263, 070-7752-4780"
193,시외버스,일반,세종,대전청사경유(안양출),15:55,2700,"070-4904-3263, 070-7752-4780"
194,시외버스,일반,세종,고양출,21:20,2700,"070-4904-3263, 070-7752-4780"
