휴게소명,도로종류,도로노선번호,도로노선명,도로노선방향,위도,경도,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,버스환승가능여부,쉼터유무,화장실유무,약국유무,수유실유무,매점유무,음식점유무,기타편의시설,휴게소대표음식명,휴게소전화번호,데이터기준일자,제공기관코드,제공기관명,
단양(춘천),고속국도,55,중앙선,,36.942827,128.322159,일반휴게소,00:00,24:00,79980,,,Y,,,N,,Y,,,Y,Y,,,043-421-1671,2017-11-14,B500004,한국도로공사,
대천(무안),고속국도,15,서해안선,,36.372987,126.555707,일반휴게소,00:00,24:00,38519,,,Y,,,N,,Y,,,Y,Y,,,041-931-6901,2017-11-14,B500004,한국도로공사,
대천(서울),고속국도,15,서해안선,,36.374392,126.558346,일반휴게소,00:00,24:00,49169,,,Y,,,N,,Y,,,Y,Y,,,041-931-6801,2017-11-14,B500004,한국도로공사,
덕유산(통영),고속국도,35,중부선,,35.813416,127.643197,일반휴게소,00:00,24:00,47737,,,Y,,,N,,Y,,,Y,Y,,,063-353-5100,2017-11-14,B500004,한국도로공사,
덕유산(하남),고속국도,35,중부선,,35.816472,127.646166,일반휴게소,00:00,24:00,43941,,,Y,,,N,,Y,,,Y,Y,,,063-353-4200,2017-11-14,B500004,한국도로공사,
덕평,고속국도,50,영동선,,37.241262,127.390212,일반휴게소,00:00,24:00,182761,,,Y,,,N,,Y,,,Y,Y,,,031-645-0001,2017-11-14,B500004,한국도로공사,
동명(부산),고속국도,55,중앙선,,36.006161,128.546993,일반휴게소,00:00,24:00,28095,,,Y,,,N,,Y,,,Y,Y,,,054-977-6921,2017-11-14,B500004,한국도로공사,
동명(춘천),고속국도,55,중앙선,,36.006242,128.549412,일반휴게소,00:00,24:00,28096,,,Y,,,N,,Y,,,Y,Y,,,054-977-6901,2017-11-14,B500004,한국도로공사,
동해(동해),고속국도,65,동해선,,37.601540,129.073563,일반휴게소,00:00,24:00,39724,,,Y,,,N,,Y,,,Y,Y,,,033-534-6631,2017-11-14,B500004,한국도로공사,
마장(복합),고속국도,35,중부선,,37.264681,127.405916,일반휴게소,00:00,24:00,103000,,,Y,,,N,,Y,,,Y,Y,,,031-630-0001,2017-11-14,B500004,한국도로공사,
망향(부산),고속국도,1,경부선,,36.855952,127.181222,일반휴게소,00:00,24:00,34779,,,Y,,,N,,Y,,,Y,Y,,,041-557-4000,2017-11-14,B500004,한국도로공사,
목감(서울),고속국도,15,서해안선,,37.389408,126.869980,간이휴게소,00:00,24:00,19800,,,Y,,,N,,Y,,,Y,Y,,,031-411-0590,2017-11-14,B500004,한국도로공사,
문경(마산),고속국도,45,중부내륙선,,36.620381,128.149988,화물차휴게소,00:00,24:00,74440,,,Y,,,N,,Y,,,Y,Y,,,054-554-1655,2017-11-14,B500004,한국도로공사,
문경(양평),고속국도,45,중부내륙선,,36.620886,128.152439,화물차휴게소,00:00,24:00,58347,,,Y,,,N,,Y,,,Y,Y,,,054-554-1610,2017-11-14,B500004,한국도로공사,
문막(강릉),고속국도,50,영동선,,37.335286,127.858277,일반휴게소,00:00,24:00,42780,,,Y,,,N,,Y,,,Y,Y,,,033-731-8481,2017-11-14,B500004,한국도로공사,
문막(서창),고속국도,50,영동선,,37.297975,127.817317,일반휴게소,00:00,24:00,18397,,,Y,,,N,,Y,,,Y,Y,,,033-734-7471,2017-11-14,B500004,한국도로공사,
문산(순천),고속국도,10,남해선,,35.171501,128.151681,일반휴게소,00:00,24:00,52200,,,Y,,,N,,Y,,,Y,Y,,,055-761-2820,2017-11-14,B500004,한국도로공사,
백양사(순천),고속국도,25,호남선,,35.394424,126.805367,일반휴게소,00:00,24:00,31030,,,Y,,,N,,Y,,,Y,Y,,,061-394-9990,2017-11-14,B500004,한국도로공사,
백양사(천안),고속국도,25,호남선,,35.393000,126.807404,일반휴게소,00:00,24:00,29681,,,Y,,,N,,Y,,,Y,Y,,,061-394-5177,2017-11-14,B500004,한국도로공사,
벌곡(순천),고속국도,251,호남지선,,36.216144,127.277975,일반휴게소,00:00,24:00,27840,,,Y,,,N,,Y,,,Y,Y,,,041-732-7694,2017-11-14,B500004,한국도로공사,
벌곡(천안),고속국도,251,호남지선,,36.210494,127.270443,일반휴게소,00:00,24:00,24628,,,Y,,,N,,Y,,,Y,Y,,,041-734-5250,2017-11-14,B500004,한국도로공사,
보성녹차(광양),고속국도,10,남해선,,34.807303,127.181013,간이휴게소,00:00,24:00,27411,,,Y,,,N,,Y,,,Y,Y,,,070-4325-8808,2017-11-14,B500004,한국도로공사,
보성녹차(무안),고속국도,10,남해선,,34.814490,127.126734,간이휴게소,00:00,24:00,41433,,,Y,,,N,,Y,,,Y,Y,,,070-4325-8801,2017-11-14,B500004,한국도로공사,
부여백제(공주),고속국도,151,서천공주선,,36.258293,126.800079,일반휴게소,00:00,24:00,71199,,,Y,,,N,,Y,,,Y,Y,,,041-833-5400,2017-11-14,B500004,한국도로공사,
부여백제(서천),고속국도,151,서천공주선,,36.258208,126.796730,일반휴게소,00:00,24:00,72611,,,Y,,,N,,Y,,,Y,Y,,,041-834-5600,2017-11-14,B500004,한국도로공사,
사천(부산),고속국도,10,남해선,,35.073162,128.010726,일반휴게소,00:00,24:00,21205,,,Y,,,N,,Y,,,Y,Y,,,055-854-3134,2017-11-14,B500004,한국도로공사,
사천(순천),고속국도,10,남해선,,35.075021,128.012694,일반휴게소,00:00,24:00,30117,,,Y,,,N,,Y,,,Y,Y,,,055-854-3547,2017-11-14,B500004,한국도로공사,
산청(통영),고속국도,35,중부선,,35.337686,127.934846,일반휴게소,00:00,24:00,26830,,,Y,,,N,,Y,,,Y,Y,,,055-973-9036,2017-11-14,B500004,한국도로공사,
산청(하남),고속국도,35,중부선,,35.333833,127.937822,일반휴게소,00:00,24:00,30853,,,Y,,,N,,Y,,,Y,Y,,,055-973-5970,2017-11-14,B500004,한국도로공사,
서산(무안),고속국도,15,서해안선,,36.742927,126.565033,일반휴게소,00:00,24:00,61600,,,Y,,,N,,Y,,,Y,Y,,,041-688-8814,2017-11-14,B500004,한국도로공사,
서산(서울),고속국도,15,서해안선,,36.734176,126.566211,일반휴게소,00:00,24:00,53378,,,Y,,,N,,Y,,,Y,Y,,,041-688-7714,2017-11-14,B500004,한국도로공사,
서여주(마산),고속국도,45,중부내륙,,37.279088,127.578515,간이휴게소,00:00,24:00,51095,,,Y,,,N,,Y,,,Y,Y,,,031-884-9714,2017-11-14,B500004,한국도로공사,
서여주(양평),고속국도,45,중부내륙,,37.279196,127.580321,간이휴게소,00:00,24:00,58111,,,Y,,,N,,Y,,,Y,Y,,,031-885-9760,2017-11-14,B500004,한국도로공사,
서울만남(부산),고속국도,1,경부선,,37.460452,127.042013,일반휴게소,00:00,24:00,13845,,,Y,,,N,,Y,,,Y,Y,,,02-578-3372,2017-11-14,B500004,한국도로공사,
서천(무안),고속국도,15,서해안선,,36.129509,126.626511,일반휴게소,00:00,24:00,57948,,,Y,,,N,,Y,,,Y,Y,,,041-952-5757,2017-11-14,B500004,한국도로공사,
서천(서울),고속국도,15,서해안선,,36.131926,126.627875,일반휴게소,00:00,24:00,54919,,,Y,,,N,,Y,,,Y,Y,,,041-952-9700,2017-11-14,B500004,한국도로공사,
선산(양평),고속국도,45,중부내륙선,,36.278193,128.247284,일반휴게소,00:00,24:00,32460,,,Y,,,Y,,Y,,,Y,Y,,,054-482-6011,2017-11-14,B500004,한국도로공사,
선산(창원),고속국도,45,중부내륙선,,36.274206,128.250771,일반휴게소,00:00,24:00,28943,,,Y,,,Y,,Y,,,Y,Y,,,054-482-6031,2017-11-14,B500004,한국도로공사,
섬진강(부산),고속국도,10,남해선,,34.984685,127.770368,일반휴게소,00:00,24:00,18130,,,Y,,,N,,Y,,,Y,Y,,,061-772-7986,2017-11-14,B500004,한국도로공사,
섬진강(순천),고속국도,10,남해선,,34.985967,127.769233,일반휴게소,00:00,24:00,15454,,,Y,,,N,,Y,,,Y,Y,,,061-772-7993,2017-11-14,B500004,한국도로공사,
속리산(당진),고속국도,30,당진영덕선,,36.447808,127.868824,일반휴게소,00:00,24:00,53607,,,Y,,,N,,Y,,,Y,Y,,,043-544-1466,2017-11-14,B500004,한국도로공사,
순천(순천),고속국도,25,호남선,,35.010288,127.441342,간이휴게소,00:00,24:00,23306,,,N,,,N,,Y,,,Y,Y,,,061-755-4982,2017-11-14,B500004,한국도로공사,
시흥하늘,고속국도,100,서울외곽선,,37.385298,126.856224,일반휴게소,00:00,24:00,16700,,,Y,,,N,,Y,,,Y,Y,,,031-481-9758,2017-11-14,B500004,한국도로공사,
신탄진(서울),고속국도,1,경부선,,36.427298,127.418643,화물차휴게소,00:00,24:00,63846,,,Y,,,N,,Y,,,Y,Y,,,042-934-2442,2017-11-14,B500004,한국도로공사,
안동(부산),고속국도,55,중앙선,,36.554250,128.641935,일반휴게소,00:00,24:00,42822,,,Y,,,N,,Y,,,Y,Y,,,054-853-4370,2017-11-14,B500004,한국도로공사,
안동(춘천),고속국도,55,중앙선,,36.554020,128.642324,일반휴게소,00:00,24:00,40874,,,Y,,,N,,Y,,,Y,Y,,,054-853-4061,2017-11-14,B500004,한국도로공사,
안성(부산),고속국도,1,경부선,,37.013404,127.144816,일반휴게소,00:00,24:00,28974,,,Y,,,N,,Y,,,Y,Y,,,031-655-0531,2017-11-14,B500004,한국도로공사,
안성(서울),고속국도,1,경부선,,37.076666,127.132517,일반휴게소,00:00,24:00,85692,,,Y,,,N,,Y,,,Y,Y,,,031-611-5793,2017-11-14,B500004,한국도로공사,
안성맞춤(충주),고속국도,40,평택제천선,,36.968047,127.274284,일반휴게소,00:00,24:00,66492,,,Y,,,N,,Y,,,Y,Y,,,031-674-4406,2017-11-14,B500004,한국도로공사,
양산(서울),고속국도,1,경부선,,35.322993,129.057177,일반휴게소,00:00,24:00,35779,,,Y,,,N,,Y,,,Y,Y,,,055-384-0144,2017-11-14,B500004,한국도로공사,
언양(서울),고속국도,1,경부선,,35.597945,129.141747,일반휴게소,00:00,24:00,27816,,,Y,,,N,,Y,,,Y,Y,,,052-263-6153,2017-11-14,B500004,한국도로공사,
여산(순천),고속국도,25,호남선,,36.048568,127.102398,일반휴게소,00:00,24:00,51744,,,Y,,,N,,Y,,,Y,Y,,,063-836-5168,2017-11-14,B500004,한국도로공사,
여산(천안),고속국도,25,호남선,,36.048545,127.104753,일반휴게소,00:00,24:00,28050,,,Y,,,N,,Y,,,Y,Y,,,063-836-5168,2017-11-14,B500004,한국도로공사,
여주(강릉),고속국도,50,영동선,,37.238021,127.568969,일반휴게소,00:00,24:00,52610,,,Y,,,N,,Y,,,Y,Y,,,031-882-3120,2017-11-14,B500004,한국도로공사,
여주(서창),고속국도,50,영동선,,37.239721,127.570125,일반휴게소,00:00,24:00,47973,,,Y,,,N,,Y,,,Y,Y,,,031-882-2900,2017-11-14,B500004,한국도로공사,
영산(마산),고속국도,451,중부내륙지선,,35.429800,128.495930,일반휴게소,00:00,24:00,20609,,,Y,,,N,,Y,,,Y,Y,,,055-521-2978,2017-11-14,B500004,한국도로공사,
영천(대구),고속국도,20,익산포항선,,36.053195,129.044573,화물차휴게소,00:00,24:00,80288,,,Y,,,N,,Y,,,Y,Y,,,02-3271-8606,2017-11-14,B500004,한국도로공사,
영천(포항),고속국도,20,익산포항선,,36.051423,129.042577,화물차휴게소,00:00,24:00,74442,,,Y,,,N,,Y,,,Y,Y,,,02-3271-8606,2017-11-14,B500004,한국도로공사,
예산(당진),고속국도,30,당진영덕선,,36.620604,126.844135,일반휴게소,00:00,24:00,66423,,,Y,,,N,,Y,,,Y,Y,,,041-335-0020,2017-11-14,B500004,한국도로공사,
예산(영덕),고속국도,30,당진영덕선,,36.625417,126.841418,일반휴게소,00:00,24:00,62787,,,Y,,,N,,Y,,,Y,Y,,,041-334-0094,2017-11-14,B500004,한국도로공사,
안성맞춤(평택),고속국도,40,평택제천선,,36.969918,127.274612,일반휴게소,00:00,24:00,59766,,,Y,,,N,,Y,,,Y,Y,,,031-673-3822,2017-11-14,B500004,한국도로공사,
오수(광양),고속국도,27,순천완주선,,35.540923,127.309251,일반휴게소,00:00,24:00,44883,,,Y,,,N,,Y,,,Y,Y,,,063-644-6116,2017-11-14,B500004,한국도로공사,
오수(전주),고속국도,27,순천완주선,,35.540925,127.309249,일반휴게소,00:00,24:00,57978,,,Y,,,N,,Y,,,Y,Y,,,063-644-5115,2017-11-14,B500004,한국도로공사,
오창(통영),고속국도,35,중부선,,36.758496,127.481822,일반휴게소,00:00,24:00,11001,,,Y,,,N,,Y,,,Y,Y,,,043-217-1477,2017-11-14,B500004,한국도로공사,
오창(하남),고속국도,35,중부선,,36.756603,127.481945,일반휴게소,00:00,24:00,16297,,,Y,,,N,,Y,,,Y,Y,,,043-217-8303,2017-11-14,B500004,한국도로공사,
옥계(속초),고속국도,65,동해선,,37.616180,129.060200,일반휴게소,00:00,24:00,70390,,,Y,,,N,,Y,,,Y,Y,,,033-534-1700,2017-11-14,B500004,한국도로공사,
옥산(부산),고속국도,1,경부선,,36.657734,127.369840,화물차휴게소,00:00,24:00,33272,,,Y,,,N,,Y,,,Y,Y,,,043-260-1053,2017-11-14,B500004,한국도로공사,
옥천(만남),고속국도,1,경부선,,36.259620,127.624633,화물차휴게소,00:00,24:00,45218,,,Y,,,N,,Y,,,Y,Y,,,043-732-0081,2017-11-14,B500004,한국도로공사,
옥천(부산),고속국도,1,경부선,,36.296848,127.595325,화물차휴게소,00:00,24:00,43421,,,Y,,,N,,Y,,,Y,Y,,,043-731-8521,2017-11-14,B500004,한국도로공사,
옥천(서울),고속국도,1,경부선,,36.297610,127.598814,일반휴게소,00:00,24:00,25278,,,Y,,,N,,Y,,,Y,Y,,,043-731-8097,2017-11-14,B500004,한국도로공사,
와촌(포항),고속국도,20,익산포항선,,35.951821,128.775490,일반휴게소,00:00,24:00,41484,,,Y,,,N,,Y,,,Y,Y,,,053-853-1002,2017-11-14,B500004,한국도로공사,
외동(울산),고속국도,65,울산포항선,,35.672751,129.285279,일반휴게소,00:00,24:00,27498,,,Y,,,N,,Y,,,Y,Y,,,054-745-0637,2017-11-14,B500004,한국도로공사,
외동(포항),고속국도,65,울산포항선,,35.672673,129.288322,일반휴게소,00:00,24:00,29069,,,Y,,,N,,Y,,,Y,Y,,,054-745-0631,2017-11-14,B500004,한국도로공사,
용인(강릉),고속국도,50,영동선,,37.245552,127.242104,일반휴게소,00:00,24:00,33223,,,Y,,,N,,Y,,,Y,Y,,,031-339-3663,2017-11-14,B500004,한국도로공사,
용인(서창),고속국도,50,영동선,,37.248302,127.238447,일반휴게소,00:00,24:00,32862,,,Y,,,N,,Y,,,Y,Y,,,031-339-3660,2017-11-14,B500004,한국도로공사,
원주(부산),고속국도,55,중앙선,,37.435234,127.929027,일반휴게소,00:00,24:00,48897,,,Y,,,N,,Y,,,Y,Y,,,033-731-4291,2017-11-14,B500004,한국도로공사,
원주(춘천),고속국도,55,중앙선,,37.434643,127.931743,일반휴게소,00:00,24:00,42927,,,Y,,,N,,Y,,,Y,Y,,,033-731-8194,2017-11-14,B500004,한국도로공사,
음성(통영),고속국도,35,중부선,,37.019633,127.480828,일반휴게소,00:00,24:00,77783,,,Y,,,N,,Y,,,Y,Y,,,043-878-6410,2017-11-14,B500004,한국도로공사,
음성(하남),고속국도,35,중부선,,37.021997,127.484453,일반휴게소,00:00,24:00,43895,,,Y,,,N,,Y,,,Y,Y,,,043-878-6403,2017-11-14,B500004,한국도로공사,
의성(당진),고속국도,30,당진영덕선,,36.410998,128.444794,간이휴게소,00:00,24:00,16237,,,Y,,,N,,Y,,,Y,Y,,,054-862-9072,2017-11-14,B500004,한국도로공사,
이서(순천),고속국도,25,호남선,,35.803943,127.023764,화물차휴게소,00:00,24:00,29463,,,Y,,,N,,Y,,,Y,Y,,,063-227-4114,2017-11-14,B500004,한국도로공사,
이서(천안),고속국도,25,호남선,,35.801940,127.025766,화물차휴게소,00:00,24:00,27508,,,Y,,,N,,Y,,,Y,Y,,,063-236-2592,2017-11-14,B500004,한국도로공사,
이천(통영),고속국도,35,중부선,,37.264583,127.403677,일반휴게소,00:00,24:00,70002,,,Y,,,N,,Y,,,Y,Y,,,031-637-0987,2017-11-14,B500004,한국도로공사,
이천(하남),고속국도,35,중부선,,37.294024,127.378327,일반휴게소,00:00,24:00,82868,,,Y,,,N,,Y,,,Y,Y,,,031-638-1117,2017-11-14,B500004,한국도로공사,
인삼랜드(통영),고속국도,35,중부선,,36.152855,127.495942,일반휴게소,00:00,24:00,48351,,,Y,,,Y,,Y,,,Y,Y,,,041-751-2892,2017-11-14,B500004,한국도로공사,
인삼랜드(하남),고속국도,35,중부선,,36.154697,127.497652,일반휴게소,00:00,24:00,40492,,,Y,,,Y,,Y,,,Y,Y,,,041-754-9200,2017-11-14,B500004,한국도로공사,
입장(서울),고속국도,1,경부선,,36.943055,127.192491,화물차휴게소,00:00,24:00,81553,,,Y,,,N,,Y,,,Y,Y,,,041-588-7868,2017-11-14,B500004,한국도로공사,
장유(부산),고속국도,10,남해선,,35.212071,128.793603,일반휴게소,00:00,24:00,41925,,,Y,,,N,,Y,,,Y,Y,,,055-313-2610,2017-11-14,B500004,한국도로공사,
정읍(순천),고속국도,25,호남선,,35.601454,126.861989,일반휴게소,00:00,24:00,40011,,,Y,,,N,,Y,,,Y,Y,,,063-532-0510,2017-11-14,B500004,한국도로공사,
정읍(천안),고속국도,25,호남선,,35.600193,126.864570,일반휴게소,00:00,24:00,28126,,,Y,,,N,,Y,,,Y,Y,,,063-532-2373,2017-11-14,B500004,한국도로공사,
주암(순천),고속국도,25,호남선,,35.076208,127.264124,일반휴게소,00:00,24:00,28705,,,Y,,,N,,Y,,,Y,Y,,,061-754-4980,2017-11-14,B500004,한국도로공사,
의성(영덕),고속국도,30,당진영덕선,,36.409452,128.447769,간이휴게소,00:00,24:00,19101,,,Y,,,N,,Y,,,Y,Y,,,054-862-9251,2017-11-14,B500004,한국도로공사,
주암(천안),고속국도,25,호남선,,35.076619,127.265750,일반휴게소,00:00,24:00,25780,,,Y,,,N,,Y,,,Y,Y,,,061-754-2432,2017-11-14,B500004,한국도로공사,
죽암(부산),고속국도,1,경부선,,36.486807,127.429288,일반휴게소,00:00,24:00,29312,,,Y,,,N,,Y,,,Y,Y,,,043-269-0850,2017-11-14,B500004,한국도로공사,
죽암(서울),고속국도,1,경부선,,36.496782,127.430616,일반휴게소,00:00,24:00,18860,,,Y,,,N,,Y,,,Y,Y,,,043-260-8035,2017-11-14,B500004,한국도로공사,
죽전(서울),고속국도,1,경부선,,37.332523,127.104790,일반휴게소,00:00,24:00,28982,,,Y,,,N,,Y,,,Y,Y,,,031-262-3168,2017-11-14,B500004,한국도로공사,
지리산(담양),고속국도,12,광주대구선,,35.483925,127.567071,일반휴게소,00:00,24:00,40224,,,Y,,,N,,Y,,,Y,Y,,,063-636-7195,2017-11-14,B500004,한국도로공사,
지리산(대구),고속국도,12,광주대구선,,35.481353,127.566827,일반휴게소,00:00,24:00,61516,,,Y,,,N,,Y,,,Y,Y,,,063-636-7191,2017-11-14,B500004,한국도로공사,
진안(익산),고속국도,20,익산포항선,,35.777840,127.425297,일반휴게소,00:00,24:00,53532,,,Y,,,N,,Y,,,Y,Y,,,063-432-1380,2017-11-14,B500004,한국도로공사,
진안(장수),고속국도,20,익산포항선,,35.774821,127.426397,일반휴게소,00:00,24:00,50251,,,Y,,,N,,Y,,,Y,Y,,,063-432-6350,2017-11-14,B500004,한국도로공사,
진영(부산),고속국도,10,남해선,,35.277907,128.715453,일반휴게소,00:00,24:00,22194,,,Y,,,N,,Y,,,Y,Y,,,055-342-3236,2017-11-14,B500004,한국도로공사,
